"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","8,834.00","8,845.00","8,945.97","8,819.00","1.30K","-0.07%"
"29.12.2022","8,840.00","8,845.00","8,845.00","8,840.00","0.16K","-1.34%"
"28.12.2022","8,959.97","8,868.95","8,959.97","8,822.85","1.46K","0.50%"
"27.12.2022","8,915.00","8,945.39","8,945.39","8,915.00","1.08K","-0.56%"
"23.12.2022","8,965.00","8,945.00","8,965.00","8,945.00","0.08K","0.15%"
"22.12.2022","8,951.53","8,907.00","8,951.53","8,907.00","0.06K","-1.28%"
"21.12.2022","9,067.84","9,090.00","9,109.00","9,067.84","5.15K","0.31%"
"20.12.2022","9,040.00","9,124.99","9,124.99","9,040.00","0.06K","0.03%"
"19.12.2022","9,037.00","9,120.00","9,120.00","9,020.11","0.29K","-0.88%"
"16.12.2022","9,116.85","9,120.00","9,145.00","9,062.00","0.78K","-0.47%"
"15.12.2022","9,160.00","9,359.00","9,359.00","9,100.01","0.25K","-1.63%"
"14.12.2022","9,312.01","9,614.00","9,614.00","9,312.01","0.34K","-1.93%"
"13.12.2022","9,495.00","9,601.50","9,601.50","9,495.00","0.21K","-1.29%"
"09.12.2022","9,619.00","9,625.00","9,625.00","9,619.00","12.02K","2.05%"
"08.12.2022","9,426.08","9,436.00","9,449.00","9,392.00","0.25K","-0.78%"
"07.12.2022","9,500.00","9,600.00","9,600.00","9,500.00","0.15K","-0.21%"
"06.12.2022","9,520.00","9,650.00","9,650.00","9,445.00","0.29K","-1.24%"
"05.12.2022","9,640.00","9,685.00","9,685.00","9,630.00","0.14K","0.78%"
"02.12.2022","9,565.00","9,590.00","9,590.00","9,565.00","0.03K","-1.03%"
"01.12.2022","9,665.00","9,650.00","9,713.33","9,650.00","0.38K","-5.31%"
"30.11.2022","10,207.00","10,207.00","10,207.00","10,207.00","0.05K","0.07%"
"29.11.2022","10,200.00","10,203.00","10,203.00","10,183.00","0.13K","-0.59%"
"28.11.2022","10,261.00","10,290.00","10,323.00","10,244.50","0.08K","-0.69%"
"25.11.2022","10,332.00","10,352.65","10,352.65","10,332.00","0.06K","-0.40%"
"23.11.2022","10,374.00","10,398.00","10,398.00","10,339.00","0.16K","0.31%"
"22.11.2022","10,342.00","10,318.00","10,342.00","10,318.00","0.03K","2.85%"
"17.11.2022","10,055.00","10,055.00","10,055.00","10,055.00","0.07K","-1.90%"
"15.11.2022","10,249.98","10,138.25","10,250.00","10,138.25","0.11K","3.01%"
"14.11.2022","9,950.00","10,090.00","10,090.00","9,950.00","0.06K","-0.40%"
"11.11.2022","9,990.00","10,042.00","10,042.00","9,935.00","0.94K","2.04%"
"10.11.2022","9,790.00","9,800.00","9,800.00","9,780.00","0.09K","1.34%"
"09.11.2022","9,661.00","9,695.00","9,695.00","9,661.00","0.30K","0.21%"
"08.11.2022","9,640.61","9,583.00","9,650.00","9,583.00","0.17K","2.72%"
"07.11.2022","9,385.00","9,300.00","9,385.00","9,300.00","0.04K","0.27%"
"04.11.2022","9,360.01","9,709.00","9,709.00","9,360.01","0.05K","-4.49%"
"01.11.2022","9,800.00","9,800.00","9,800.00","9,800.00","0.05K","-1.63%"
"31.10.2022","9,961.89","10,000.00","10,000.00","9,945.00","0.68K","-1.66%"
"28.10.2022","10,130.00","9,969.00","10,135.00","9,969.00","0.54K","2.51%"
"27.10.2022","9,882.08","9,846.00","9,882.08","9,846.00","3.07K","0.33%"
"26.10.2022","9,850.00","9,850.00","9,850.00","9,850.00","0.01K","-0.04%"
"25.10.2022","9,854.00","9,910.00","9,910.00","9,854.00","0.06K","0.22%"
"24.10.2022","9,832.00","9,710.00","9,857.00","9,710.00","0.08K","3.65%"
"21.10.2022","9,485.51","9,442.00","9,485.51","9,442.00","0.17K","-0.02%"
"20.10.2022","9,487.41","9,420.00","9,487.41","9,259.82","0.05K","-0.13%"
"19.10.2022","9,500.00","9,500.00","9,500.00","9,500.00","0.04K","0.21%"
"18.10.2022","9,480.00","9,480.00","9,480.00","9,480.00","0.17K","1.95%"
"17.10.2022","9,299.00","9,284.00","9,299.00","9,284.00","0.07K","1.24%"
"14.10.2022","9,184.75","9,184.75","9,184.75","9,184.75","0.03K","-0.34%"
"13.10.2022","9,215.79","9,215.79","9,215.79","9,215.79","0.08K","-1.77%"
"12.10.2022","9,382.00","9,560.00","9,577.99","9,382.00","0.05K","-1.05%"
"11.10.2022","9,482.00","9,420.00","9,482.00","9,420.00","0.20K","1.03%"
"10.10.2022","9,385.69","9,339.57","9,385.69","9,339.00","0.04K","-0.15%"
"07.10.2022","9,400.00","9,395.00","9,420.00","9,395.00","0.03K","-2.69%"
"05.10.2022","9,660.00","9,640.00","9,660.00","9,640.00","0.10K","0.21%"
