"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"23.12.2022","120.90","115.00","120.90","115.00","1.43K","0.00%"
"20.12.2022","120.90","120.90","120.90","120.90","41.40K","-2.79%"
"13.12.2022","124.37","124.37","124.37","124.37","0.30K","1.94%"
"02.12.2022","122.00","115.00","122.00","115.00","3.81K","4.72%"
"01.12.2022","116.50","118.00","118.00","116.50","0.52K","-1.27%"
"30.11.2022","118.00","118.50","118.50","118.00","51.31K","-6.35%"
"18.11.2022","126.00","126.00","126.00","126.00","0.27K","-2.85%"
"17.11.2022","129.70","129.70","129.70","129.70","0.45K","1.33%"
"09.11.2022","128.00","128.00","128.00","128.00","0.19K","-1.25%"
"03.11.2022","129.62","119.25","130.00","119.25","25.44K","9.06%"
"31.10.2022","118.85","116.00","118.85","116.00","2.16K","-0.13%"
"26.10.2022","119.00","119.00","119.00","119.00","0.20K","-3.25%"
"25.10.2022","123.00","109.00","123.00","109.00","3.34K","12.84%"
"10.10.2022","109.00","109.00","109.00","109.00","0.23K","-0.64%"
"30.09.2022","109.70","109.70","109.70","109.70","0.27K","-4.61%"
"13.09.2022","115.00","115.00","115.00","115.00","0.28K","0.00%"
"12.09.2022","115.00","115.00","115.00","115.00","0.63K","3.60%"
"19.08.2022","111.00","111.00","111.00","111.00","0.25K","-0.89%"
"16.08.2022","112.00","112.00","112.00","112.00","0.84K","3.77%"
"12.08.2022","107.93","106.00","107.93","106.00","44.66K","-0.01%"
"11.08.2022","107.94","107.94","107.94","107.94","0.75K","-0.79%"
"09.08.2022","108.80","109.17","109.17","108.80","1.26K","1.68%"
"08.08.2022","107.00","108.00","108.00","104.51","1.13K","-1.83%"
"03.08.2022","109.00","109.00","109.00","109.00","0.83K","-0.15%"
"29.07.2022","109.16","108.99","109.16","108.99","1.21K","-0.02%"
"28.07.2022","109.18","109.21","109.21","109.03","8.54K","-1.19%"
"27.07.2022","110.50","110.50","110.50","110.50","0.44K","0.00%"
"26.07.2022","110.50","110.50","110.50","110.50","0.96K","-2.26%"
"15.07.2022","113.05","113.05","113.05","113.05","0.38K","0.00%"
"13.07.2022","113.05","113.05","113.05","113.05","0.19K","-1.69%"
"06.07.2022","114.99","115.00","115.00","114.99","1.83K","-1.30%"
"04.07.2022","116.50","112.22","116.50","112.22","0.27K","0.70%"
"21.06.2022","115.69","112.00","115.69","112.00","0.73K","-3.23%"
"08.06.2022","119.55","117.00","119.55","117.00","0.49K","-0.37%"
"07.06.2022","120.00","121.24","121.24","120.00","0.40K","-4.00%"
"06.06.2022","125.00","117.00","125.00","117.00","38.27K","4.62%"
"31.05.2022","119.48","119.55","119.55","119.48","3.21K","-5.92%"
"16.05.2022","127.00","127.00","127.00","127.00","0.89K","-1.55%"
"18.04.2022","129.00","129.00","129.00","129.00","0.83K","0.00%"
"06.04.2022","129.00","129.00","129.00","129.00","0.12K","0.00%"
"24.03.2022","129.00","124.48","129.00","124.48","7.72K","0.00%"
"23.03.2022","129.00","123.80","129.00","123.80","11.83K","4.20%"
"22.03.2022","123.80","123.80","123.80","123.80","0.52K","3.17%"
"18.03.2022","120.00","120.00","120.00","120.00","5.11K","0.84%"
"16.03.2022","119.00","119.00","119.00","119.00","1.07K","0.00%"
"15.03.2022","119.00","119.00","119.00","119.00","0.27K","0.00%"
"14.03.2022","119.00","119.00","119.00","119.00","1.07K","0.00%"
"11.03.2022","119.00","119.40","119.40","119.00","2.34K","-0.34%"
"09.03.2022","119.40","119.40","119.40","119.40","0.32K","-0.17%"
"08.03.2022","119.60","119.60","119.60","119.60","0.41K","-3.24%"
"03.03.2022","123.60","123.60","123.60","123.60","0.19K","-0.20%"
"14.02.2022","123.85","123.85","123.85","123.85","0.58K","0.00%"
"11.02.2022","123.85","123.85","123.85","123.85","0.48K","-0.04%"
"03.02.2022","123.90","123.90","123.90","123.90","0.22K","-0.48%"
"01.02.2022","124.50","124.50","124.50","124.50","0.49K","-0.16%"
"31.01.2022","124.70","120.00","124.70","120.00","0.65K","2.21%"
"25.01.2022","122.00","122.00","122.00","122.00","2.38K","0.00%"
"24.01.2022","122.00","122.00","122.00","120.00","0.74K","-0.08%"
"21.01.2022","122.10","122.10","122.10","122.10","6.96K","-1.53%"
"20.01.2022","124.00","124.70","124.70","124.00","1.05K","-3.05%"
"18.01.2022","127.90","127.90","127.90","127.90","0.81K","0.00%"
"14.01.2022","127.90","127.90","127.90","127.90","0.33K","0.00%"
"13.01.2022","127.90","127.90","127.90","127.90","0.86K","0.00%"
"11.01.2022","127.90","127.90","127.90","127.90","1.09K","-0.85%"
"31.12.2021","129.00","129.00","129.00","129.00","0.42K","0.78%"
"30.12.2021","128.00","128.00","128.00","128.00","0.16K","-1.54%"
"16.12.2021","130.00","125.00","130.00","125.00","0.85K","4.43%"
"15.12.2021","124.49","124.49","124.49","124.49","0.36K","-0.41%"
"09.12.2021","125.00","125.00","125.00","125.00","0.33K","-1.19%"
"08.12.2021","126.50","127.00","127.00","126.50","0.90K","-0.40%"
"06.12.2021","127.01","127.01","127.01","127.01","0.43K","-1.16%"
"03.12.2021","128.50","128.50","128.50","128.50","0.22K","-1.06%"
"30.11.2021","129.88","129.80","130.00","129.80","0.79K","-0.09%"
"22.11.2021","130.00","130.00","130.00","130.00","0.18K","-2.26%"
"09.11.2021","133.00","133.00","133.00","133.00","0.40K","-2.18%"
"08.11.2021","135.96","135.96","135.96","135.96","0.39K","-0.02%"
"03.11.2021","135.99","135.99","135.99","135.99","0.57K","-0.36%"
"01.11.2021","136.48","136.48","136.48","136.48","0.48K","-2.51%"
