"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","3,448.00","3,448.00","3,448.00","3,448.00","0.11K","-1.14%"
"21.12.2022","3,487.62","3,475.00","3,490.00","3,473.00","0.07K","0.22%"
"20.12.2022","3,480.00","3,480.00","3,490.00","3,480.00","0.11K","0.81%"
"19.12.2022","3,452.00","3,475.00","3,475.00","3,452.00","0.17K","-0.52%"
"16.12.2022","3,470.00","3,470.00","3,470.00","3,470.00","0.14K","-0.72%"
"15.12.2022","3,495.31","3,495.31","3,495.31","3,495.31","0.60K","-1.54%"
"14.12.2022","3,550.00","3,550.00","3,550.00","3,550.00","0.02K","4.87%"
"13.12.2022","3,385.00","3,530.00","3,530.00","3,385.00","0.10K","-3.09%"
"09.12.2022","3,493.00","3,490.18","3,494.00","3,490.18","0.05K","0.52%"
"07.12.2022","3,475.00","3,475.00","3,475.00","3,475.00","0.11K","-0.14%"
"06.12.2022","3,480.00","3,520.00","3,528.75","3,480.00","0.23K","0.01%"
"05.12.2022","3,479.81","3,533.11","3,533.11","3,479.81","0.10K","0.77%"
"02.12.2022","3,453.21","3,422.00","3,453.21","3,422.00","7.62K","0.91%"
"01.12.2022","3,422.00","3,386.99","3,422.00","3,386.99","0.03K","1.03%"
"30.11.2022","3,386.99","3,363.16","3,386.99","3,363.16","0.10K","0.20%"
"29.11.2022","3,380.07","3,357.80","3,383.00","3,357.80","5.79K","-1.04%"
"28.11.2022","3,415.61","3,429.99","3,429.99","3,415.61","2.24K","-0.24%"
"23.11.2022","3,423.98","3,423.98","3,423.98","3,423.98","0.13K","-0.78%"
"22.11.2022","3,451.00","3,451.00","3,451.00","3,451.00","0.02K","1.05%"
"18.11.2022","3,415.00","3,420.00","3,420.00","3,415.00","0.13K","0.47%"
"17.11.2022","3,398.95","3,375.03","3,398.95","3,375.03","0.46K","1.46%"
"16.11.2022","3,349.98","3,369.00","3,369.00","3,349.98","0.12K","0.35%"
"15.11.2022","3,338.15","3,328.93","3,379.39","3,268.64","2.11K","0.15%"
"14.11.2022","3,333.00","3,348.00","3,348.00","3,333.00","0.09K","1.12%"
"11.11.2022","3,296.00","3,300.01","3,370.00","3,282.89","0.59K","-2.58%"
"10.11.2022","3,383.26","3,391.60","3,399.99","3,346.00","0.30K","-0.87%"
"09.11.2022","3,413.00","3,410.00","3,413.00","3,410.00","0.11K","0.38%"
"08.11.2022","3,400.00","3,370.00","3,400.00","3,370.00","0.06K","0.89%"
"07.11.2022","3,370.00","3,370.00","3,370.00","3,370.00","0.01K","0.32%"
"03.11.2022","3,359.19","3,359.19","3,359.19","3,359.19","0.13K","-0.56%"
"01.11.2022","3,378.00","3,393.00","3,393.00","3,366.00","0.26K","-1.97%"
"31.10.2022","3,446.00","3,446.00","3,446.00","3,446.00","0.08K","0.04%"
"28.10.2022","3,444.55","3,444.55","3,444.55","3,444.55","0.69K","-0.16%"
"27.10.2022","3,449.98","3,449.98","3,449.98","3,449.98","0.79K","0.66%"
"26.10.2022","3,427.50","3,427.50","3,427.50","3,427.50","0.29K","1.14%"
"25.10.2022","3,389.00","3,388.00","3,389.00","3,388.00","0.16K","-0.91%"
"24.10.2022","3,420.00","3,424.81","3,424.81","3,420.00","0.15K","1.70%"
"21.10.2022","3,362.99","3,359.98","3,362.99","3,359.98","0.03K","1.89%"
"20.10.2022","3,300.65","3,306.67","3,306.67","3,300.65","0.28K","-0.17%"
"19.10.2022","3,306.26","3,350.00","3,350.00","3,306.26","0.46K","-0.41%"
"18.10.2022","3,319.75","3,330.00","3,335.11","3,319.75","1.32K","-0.64%"
"17.10.2022","3,341.25","3,345.00","3,345.00","3,338.00","0.04K","1.40%"
"14.10.2022","3,295.00","3,309.00","3,309.00","3,295.00","0.06K","-0.19%"
"13.10.2022","3,301.18","3,301.18","3,301.18","3,301.18","0.01K","1.42%"
"12.10.2022","3,255.00","3,269.00","3,269.00","3,254.00","0.25K","-0.60%"
"11.10.2022","3,274.50","3,264.47","3,274.50","3,264.47","0.41K","1.91%"
"10.10.2022","3,213.04","3,192.00","3,213.04","3,191.00","0.08K","0.00%"
"07.10.2022","3,213.04","3,215.11","3,215.11","3,213.04","6.36K","-1.59%"
"06.10.2022","3,265.00","3,280.00","3,280.00","3,265.00","0.02K","-0.83%"
"04.10.2022","3,292.35","3,292.35","3,292.35","3,292.35","0.48K","0.57%"
"03.10.2022","3,273.73","3,289.00","3,289.00","3,234.91","3.48K","-1.95%"
"30.09.2022","3,338.99","3,331.56","3,338.99","3,331.56","0.04K","0.42%"
"29.09.2022","3,325.00","3,325.00","3,325.00","3,325.00","0.02K","-1.09%"
"28.09.2022","3,361.67","3,372.00","3,372.00","3,361.67","0.91K","-0.31%"
"27.09.2022","3,372.00","3,365.00","3,372.00","3,365.00","0.15K","-0.68%"
"26.09.2022","3,394.97","3,387.00","3,394.97","3,387.00","0.07K","1.22%"
"23.09.2022","3,354.00","3,350.00","3,354.00","3,350.00","0.08K","1.99%"
"20.09.2022","3,288.67","3,311.00","3,311.00","3,288.67","0.02K","-0.48%"
"19.09.2022","3,304.47","3,304.47","3,304.47","3,304.47","0.09K","-0.52%"
"15.09.2022","3,321.83","3,305.83","3,321.83","3,305.83","1.27K","1.43%"
"14.09.2022","3,275.00","3,281.11","3,304.87","3,275.00","0.43K","0.77%"
"13.09.2022","3,250.00","3,250.00","3,250.00","3,250.00","0.04K","-1.34%"
"12.09.2022","3,294.00","3,283.34","3,295.74","3,283.34","13.31K","-0.20%"
"09.09.2022","3,300.72","3,294.53","3,300.93","3,294.00","16.80K","-0.58%"
"08.09.2022","3,320.00","3,242.01","3,320.00","3,242.01","0.53K","0.24%"
"06.09.2022","3,312.00","3,275.41","3,312.00","3,275.41","0.20K","1.12%"
"02.09.2022","3,275.41","3,275.41","3,275.41","3,275.41","0.08K","-1.58%"
"01.09.2022","3,327.83","3,327.83","3,327.83","3,327.83","3.91K","2.71%"
"31.08.2022","3,240.02","3,290.00","3,290.00","3,240.02","0.89K","-1.07%"
"30.08.2022","3,275.00","3,264.00","3,278.50","3,264.00","2.69K","-0.15%"
"29.08.2022","3,280.00","3,262.00","3,280.00","3,262.00","0.12K","-0.70%"
"26.08.2022","3,302.98","3,316.52","3,316.52","3,302.98","0.14K","0.24%"
"24.08.2022","3,295.01","3,310.00","3,310.00","3,285.00","0.26K","-1.13%"
"23.08.2022","3,332.75","3,327.00","3,332.75","3,327.00","0.58K","-1.13%"
"22.08.2022","3,371.00","3,375.00","3,375.00","3,300.00","0.29K","-1.16%"
"19.08.2022","3,410.42","3,411.00","3,411.00","3,410.42","2.02K","3.35%"
"18.08.2022","3,300.01","3,403.50","3,403.50","3,300.01","0.05K","-1.79%"
"17.08.2022","3,360.00","3,360.00","3,365.00","3,360.00","0.08K","-0.57%"
"16.08.2022","3,379.17","3,330.00","3,379.17","3,323.76","0.10K","2.09%"
"15.08.2022","3,310.00","3,285.00","3,311.00","3,285.00","10.06K","0.91%"
"12.08.2022","3,280.00","3,350.00","3,350.00","3,280.00","0.18K","-1.80%"
"11.08.2022","3,340.02","3,363.00","3,363.00","3,340.02","0.32K","-1.62%"
"10.08.2022","3,395.00","3,424.03","3,464.99","3,390.00","2.26K","-1.59%"
"09.08.2022","3,450.00","3,449.00","3,450.00","3,449.00","0.08K","0.00%"
"08.08.2022","3,450.00","3,495.00","3,495.00","3,440.00","0.26K","-1.70%"
"05.08.2022","3,509.71","3,509.71","3,509.71","3,509.71","0.03K","0.00%"
"04.08.2022","3,509.71","3,560.10","3,560.10","3,509.71","0.10K","-1.41%"
"03.08.2022","3,560.02","3,587.70","3,587.70","3,560.02","0.03K","-0.77%"
"02.08.2022","3,587.70","3,575.00","3,600.00","3,575.00","0.26K","1.06%"
"29.07.2022","3,550.00","3,550.00","3,550.00","3,550.00","0.02K","-0.50%"
"28.07.2022","3,567.80","3,562.00","3,567.80","3,562.00","0.06K","0.22%"
"27.07.2022","3,559.99","3,537.80","3,559.99","3,520.25","1.82K","0.05%"
"26.07.2022","3,558.30","3,546.35","3,570.00","3,540.00","2.74K","-0.20%"
"25.07.2022","3,565.30","3,515.00","3,565.30","3,515.00","0.17K","1.45%"
"21.07.2022","3,514.33","3,514.33","3,514.33","3,514.33","0.23K","-0.05%"
"20.07.2022","3,516.00","3,498.01","3,516.00","3,498.01","0.07K","0.37%"
"19.07.2022","3,503.00","3,567.13","3,567.13","3,503.00","0.33K","-2.15%"
"18.07.2022","3,580.00","3,652.00","3,652.00","3,578.00","0.12K","-1.89%"
"15.07.2022","3,649.00","3,649.00","3,649.00","3,649.00","0.47K","0.39%"
"13.07.2022","3,635.00","3,670.00","3,691.79","3,620.00","0.42K","-0.95%"
"12.07.2022","3,670.00","3,679.00","3,679.00","3,670.00","0.18K","-1.34%"
"11.07.2022","3,719.99","3,707.01","3,719.99","3,700.00","0.26K","1.64%"
"08.07.2022","3,660.00","3,600.01","3,660.00","3,600.01","0.06K","0.27%"
"07.07.2022","3,650.00","3,650.00","3,650.00","3,650.00","20.04K","-1.08%"
"06.07.2022","3,690.00","3,690.00","3,690.00","3,640.02","0.56K","2.22%"
"05.07.2022","3,610.00","3,609.00","3,610.00","3,609.00","15.05K","0.31%"
"01.07.2022","3,598.97","3,619.18","3,619.18","3,595.00","0.56K","0.81%"
"30.06.2022","3,570.00","3,560.00","3,570.00","3,535.00","0.30K","0.28%"
"29.06.2022","3,560.00","3,573.89","3,573.89","3,560.00","0.18K","0.00%"
"28.06.2022","3,560.00","3,678.50","3,678.50","3,555.79","0.69K","-1.93%"
"27.06.2022","3,630.03","3,630.03","3,630.03","3,630.03","0.17K","0.33%"
"24.06.2022","3,618.00","3,579.00","3,618.00","3,579.00","1.51K","1.40%"
"23.06.2022","3,568.00","3,550.00","3,579.00","3,550.00","0.18K","2.12%"
"22.06.2022","3,494.00","3,494.00","3,494.00","3,494.00","2.04K","-0.11%"
"21.06.2022","3,498.00","3,469.00","3,498.00","3,469.00","0.50K","1.07%"
"17.06.2022","3,460.83","3,470.37","3,470.37","3,460.00","1.90K","-0.84%"
"15.06.2022","3,490.00","3,512.00","3,512.00","3,490.00","0.36K","0.93%"
"14.06.2022","3,458.00","3,485.00","3,490.00","3,458.00","0.77K","-1.45%"
"13.06.2022","3,508.89","3,508.89","3,508.89","3,508.89","0.65K","1.41%"
"10.06.2022","3,460.00","3,431.00","3,468.00","3,431.00","0.45K","0.29%"
"09.06.2022","3,450.00","3,473.00","3,515.49","3,450.00","0.21K","-0.58%"
"08.06.2022","3,470.01","3,477.00","3,500.00","3,470.01","4.56K","0.00%"
"07.06.2022","3,470.00","3,478.00","3,478.00","3,470.00","0.21K","-0.06%"
"06.06.2022","3,472.00","3,472.00","3,472.00","3,472.00","0.02K","-1.30%"
