"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","1,240.00","1,244.35","1,244.35","1,240.00","0.08K","0.08%"
"29.12.2022","1,239.00","1,245.00","1,245.00","1,232.00","0.97K","-1.27%"
"27.12.2022","1,255.00","1,233.09","1,255.00","1,233.09","4.75K","2.44%"
"23.12.2022","1,225.12","1,235.00","1,235.00","1,225.09","8.87K","-0.80%"
"22.12.2022","1,235.00","1,246.21","1,246.21","1,225.00","0.95K","-1.44%"
"21.12.2022","1,253.00","1,258.00","1,258.00","1,253.00","0.06K","1.13%"
"20.12.2022","1,239.00","1,243.00","1,243.00","1,239.00","0.03K","-0.47%"
"19.12.2022","1,244.90","1,240.00","1,255.01","1,233.31","0.22K","0.40%"
"16.12.2022","1,240.00","1,246.53","1,246.53","1,237.00","2.14K","0.00%"
"15.12.2022","1,240.00","1,260.00","1,269.97","1,240.00","0.06K","-1.23%"
"14.12.2022","1,255.45","1,249.52","1,272.98","1,249.52","2.97K","0.51%"
"13.12.2022","1,249.02","1,252.07","1,270.00","1,249.02","5.24K","-0.24%"
"09.12.2022","1,252.07","1,258.00","1,258.00","1,252.06","0.08K","0.17%"
"08.12.2022","1,250.00","1,252.00","1,252.00","1,249.22","0.14K","0.06%"
"07.12.2022","1,249.20","1,251.50","1,251.50","1,249.20","0.33K","-0.18%"
"06.12.2022","1,251.50","1,255.00","1,263.00","1,251.50","1.44K","0.12%"
"05.12.2022","1,250.00","1,249.00","1,256.00","1,249.00","0.16K","0.08%"
"02.12.2022","1,249.00","1,234.50","1,249.00","1,234.50","2.98K","2.13%"
"01.12.2022","1,223.00","1,218.00","1,223.00","1,210.00","0.30K","0.41%"
"30.11.2022","1,218.00","1,202.99","1,218.00","1,185.00","0.37K","1.25%"
"29.11.2022","1,202.99","1,200.00","1,203.67","1,195.00","0.25K","-0.63%"
"28.11.2022","1,210.59","1,214.99","1,217.20","1,210.50","8.48K","0.38%"
"25.11.2022","1,206.00","1,211.00","1,211.02","1,205.99","0.28K","-0.08%"
"23.11.2022","1,207.01","1,209.99","1,211.53","1,206.03","0.09K","0.16%"
"22.11.2022","1,205.06","1,185.69","1,219.99","1,185.69","0.19K","1.63%"
"18.11.2022","1,185.69","1,191.00","1,193.00","1,185.69","0.59K","1.08%"
"17.11.2022","1,173.03","1,163.01","1,179.98","1,163.01","0.48K","0.86%"
"16.11.2022","1,163.01","1,168.04","1,180.69","1,163.01","0.39K","-0.43%"
"15.11.2022","1,168.03","1,193.95","1,193.95","1,168.00","5.10K","-0.67%"
"14.11.2022","1,175.86","1,161.62","1,194.96","1,161.62","0.40K","-1.60%"
"11.11.2022","1,195.00","1,185.30","1,195.00","1,180.00","7.40K","2.05%"
"10.11.2022","1,171.00","1,166.55","1,171.00","1,160.00","0.24K","0.79%"
"09.11.2022","1,161.85","1,161.81","1,161.85","1,161.81","0.05K","-0.36%"
"08.11.2022","1,166.00","1,159.80","1,166.00","1,155.02","0.13K","0.87%"
"07.11.2022","1,156.00","1,158.00","1,159.80","1,156.00","0.26K","-0.33%"
"04.11.2022","1,159.82","1,157.71","1,161.97","1,150.00","0.14K","0.20%"
"03.11.2022","1,157.50","1,150.75","1,168.48","1,150.75","0.55K","-1.49%"
"01.11.2022","1,175.00","1,186.03","1,186.03","1,172.00","1.19K","-0.93%"
"31.10.2022","1,186.03","1,190.02","1,193.00","1,186.03","0.26K","-1.57%"
"28.10.2022","1,204.98","1,197.00","1,204.98","1,197.00","2.09K","1.69%"
"27.10.2022","1,185.00","1,185.10","1,185.10","1,179.40","9.48K","0.00%"
"26.10.2022","1,185.00","1,175.00","1,185.53","1,175.00","4.78K","0.92%"
"25.10.2022","1,174.14","1,161.38","1,174.20","1,156.50","6.14K","2.84%"
"24.10.2022","1,141.75","1,142.00","1,143.00","1,139.97","10.16K","2.57%"
"21.10.2022","1,113.15","1,114.00","1,118.95","1,113.15","0.97K","1.10%"
"20.10.2022","1,101.05","1,110.02","1,114.99","1,101.05","2.55K","-2.13%"
"19.10.2022","1,125.00","1,121.01","1,134.99","1,121.01","2.88K","-0.13%"
"18.10.2022","1,126.41","1,128.01","1,129.98","1,125.00","3.45K","0.57%"
"17.10.2022","1,119.98","1,110.01","1,119.98","1,110.01","4.65K","1.27%"
"14.10.2022","1,105.95","1,117.07","1,125.00","1,105.02","0.89K","-1.00%"
"13.10.2022","1,117.07","1,100.00","1,117.07","1,090.06","9.24K","1.55%"
"12.10.2022","1,100.00","1,100.00","1,115.00","1,100.00","0.41K","0.46%"
"11.10.2022","1,095.00","1,085.00","1,101.00","1,085.00","0.43K","1.16%"
"10.10.2022","1,082.40","1,099.98","1,099.98","1,077.01","0.74K","-2.40%"
"07.10.2022","1,108.99","1,095.03","1,108.99","1,090.00","0.55K","-0.09%"
"06.10.2022","1,110.00","1,129.99","1,129.99","1,104.21","2.00K","-1.94%"
"05.10.2022","1,132.00","1,135.00","1,135.00","1,120.00","5.11K","0.15%"
"04.10.2022","1,130.28","1,143.30","1,164.79","1,130.28","12.11K","-0.30%"
"03.10.2022","1,133.66","1,136.00","1,138.35","1,128.00","6.85K","-0.21%"
"30.09.2022","1,136.00","1,154.85","1,154.85","1,136.00","0.12K","-2.00%"
"29.09.2022","1,159.14","1,144.00","1,159.16","1,130.00","0.56K","0.36%"
