"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"30.12.2022","241.817","241.817","241.817","241.817","-0.37%"
"29.12.2022","242.706","242.706","242.706","242.706","0.24%"
"28.12.2022","242.134","242.134","242.134","242.134","-0.57%"
"27.12.2022","243.520","243.520","243.520","243.520","1.23%"
"26.12.2022","240.561","240.561","240.561","240.561","0.77%"
"23.12.2022","238.735","238.735","238.735","238.735","0.19%"
"22.12.2022","238.293","238.293","238.293","238.293","0.33%"
"21.12.2022","237.513","237.513","237.513","237.513","-0.42%"
"20.12.2022","238.516","238.516","238.516","238.516","-1.06%"
"19.12.2022","241.072","241.072","241.072","241.072","0.16%"
"16.12.2022","240.678","240.678","240.678","240.678","-0.72%"
"15.12.2022","242.418","242.418","242.418","242.418","-0.17%"
"14.12.2022","242.834","242.834","242.834","242.834","0.03%"
"13.12.2022","242.763","242.763","242.763","242.763","0.11%"
"09.12.2022","242.486","242.486","242.486","242.486","0.45%"
"08.12.2022","241.405","241.405","241.405","241.405","1.01%"
"07.12.2022","238.998","238.998","238.998","238.998","0.83%"
"06.12.2022","237.034","237.034","237.034","237.034","0.30%"
"05.12.2022","236.329","236.329","236.329","236.329","0.07%"
"02.12.2022","236.168","236.168","236.168","236.168","-0.38%"
"01.12.2022","237.073","237.073","237.073","237.073","-0.20%"
"30.11.2022","237.537","237.537","237.537","237.537","-0.52%"
"29.11.2022","238.768","238.768","238.768","238.768","0.14%"
"28.11.2022","238.425","238.425","238.425","238.425","0.14%"
"25.11.2022","238.085","238.085","238.085","238.085","0.15%"
"24.11.2022","237.729","237.729","237.729","237.729","-0.22%"
"23.11.2022","238.265","238.265","238.265","238.265","0.32%"
"22.11.2022","237.508","237.508","237.508","237.508","0.25%"
"18.11.2022","236.920","236.920","236.920","236.920","-1.19%"
"17.11.2022","239.778","239.778","239.778","239.778","0.16%"
"16.11.2022","239.394","239.394","239.394","239.394","0.47%"
"15.11.2022","238.277","238.277","238.277","238.277","-0.29%"
"14.11.2022","238.976","238.976","238.976","238.976","0.86%"
"11.11.2022","236.949","236.949","236.949","236.949","0.34%"
"10.11.2022","236.134","236.134","236.134","236.134","-0.94%"
"09.11.2022","238.369","238.369","238.369","238.369","-0.96%"
"08.11.2022","240.671","240.671","240.671","240.671","0.49%"
"07.11.2022","239.488","239.488","239.488","239.488","2.22%"
"04.11.2022","234.293","234.293","234.293","234.293","-0.03%"
"03.11.2022","234.365","234.365","234.365","234.365","-0.39%"
"01.11.2022","235.286","235.286","235.286","235.286","0.38%"
"31.10.2022","234.387","234.387","234.387","234.387","0.55%"
"28.10.2022","233.106","233.106","233.106","233.106","-0.38%"
"27.10.2022","234.004","234.004","234.004","234.004","0.25%"
"26.10.2022","233.423","233.423","233.423","233.423","0.62%"
"25.10.2022","231.986","231.986","231.986","231.986","0.21%"
"24.10.2022","231.495","231.495","231.495","231.495","-0.09%"
"21.10.2022","231.709","231.709","231.709","231.709","0.18%"
"20.10.2022","231.294","231.294","231.294","231.294","0.63%"
"19.10.2022","229.845","229.845","229.845","229.845","0.34%"
"18.10.2022","229.058","229.058","229.058","229.058","0.50%"
"17.10.2022","227.913","227.913","227.913","227.913","0.21%"
"14.10.2022","227.436","227.436","227.436","227.436","0.56%"
"13.10.2022","226.167","226.167","226.167","226.167","-0.21%"
"12.10.2022","226.640","226.640","226.640","226.640","-0.05%"
"11.10.2022","226.759","226.759","226.759","226.759","-0.36%"
"10.10.2022","227.571","227.571","227.571","227.571","-0.49%"
"07.10.2022","228.700","228.700","228.700","228.700","0.32%"
"06.10.2022","227.963","227.963","227.963","227.963","0.65%"
"03.10.2022","226.499","226.499","226.499","226.499","0.09%"
