"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","6,750.00","6,750.00","6,750.00","6,750.00","0.03K","0.00%"
"29.12.2022","6,750.00","6,750.00","6,750.00","6,750.00","0.03K","1.58%"
"28.12.2022","6,645.00","6,690.00","6,690.00","6,645.00","2.19K","-1.45%"
"27.12.2022","6,742.65","6,698.00","6,747.40","6,698.00","0.81K","1.36%"
"23.12.2022","6,652.00","6,660.00","6,660.00","6,652.00","0.45K","0.35%"
"22.12.2022","6,629.00","6,666.19","6,666.19","6,629.00","0.06K","-2.12%"
"20.12.2022","6,772.83","6,761.25","6,772.83","6,761.25","0.39K","-0.12%"
"19.12.2022","6,781.00","6,817.00","6,817.00","6,781.00","0.68K","-0.22%"
"15.12.2022","6,796.00","6,796.00","6,796.00","6,796.00","0.02K","-3.17%"
"14.12.2022","7,018.21","7,067.00","7,067.00","7,018.21","0.77K","0.26%"
"13.12.2022","7,000.00","7,115.50","7,174.00","6,998.00","0.78K","2.86%"
"07.12.2022","6,805.11","6,805.11","6,805.11","6,805.11","0.09K","-1.03%"
"06.12.2022","6,876.00","6,876.00","6,876.00","6,876.00","0.01K","-1.97%"
"05.12.2022","7,014.22","6,995.00","7,014.22","6,995.00","0.74K","2.05%"
"01.12.2022","6,873.00","6,873.00","6,873.00","6,823.00","0.04K","4.27%"
"29.11.2022","6,591.50","6,600.00","6,600.00","6,591.50","0.48K","-1.24%"
"18.11.2022","6,674.20","6,674.20","6,674.20","6,674.20","0.12K","0.71%"
"16.11.2022","6,627.25","6,615.00","6,627.25","6,615.00","0.14K","-1.51%"
"15.11.2022","6,729.00","6,729.00","6,729.00","6,729.00","0.06K","0.96%"
"14.11.2022","6,665.00","6,665.00","6,665.00","6,665.00","0.07K","0.56%"
"11.11.2022","6,627.82","6,692.00","6,692.00","6,622.60","1.99K","2.04%"
"10.11.2022","6,495.00","6,423.55","6,514.00","6,423.55","0.16K","4.42%"
"09.11.2022","6,220.00","6,220.00","6,220.00","6,220.00","0.10K","-2.40%"
"08.11.2022","6,373.00","6,373.00","6,373.00","6,373.00","0.49K","1.35%"
"07.11.2022","6,288.00","6,245.78","6,288.00","6,245.78","0.31K","2.03%"
"03.11.2022","6,163.00","6,180.00","6,180.00","6,163.00","0.09K","-5.78%"
"01.11.2022","6,541.00","6,541.00","6,541.00","6,541.00","0.33K","0.57%"
"31.10.2022","6,504.00","6,500.82","6,504.00","6,500.82","0.04K","-0.63%"
"28.10.2022","6,545.55","6,447.00","6,550.01","6,447.00","0.05K","2.72%"
"27.10.2022","6,372.00","6,372.00","6,372.00","6,372.00","0.51K","0.00%"
"26.10.2022","6,372.00","6,268.00","6,377.00","6,268.00","1.33K","3.58%"
"25.10.2022","6,152.00","6,152.00","6,152.00","6,152.00","0.05K","1.06%"
"24.10.2022","6,087.50","5,941.41","6,096.00","5,941.41","0.07K","1.05%"
"21.10.2022","6,024.00","5,915.23","6,024.00","5,915.23","0.16K","-0.10%"
"20.10.2022","6,030.00","6,030.00","6,030.00","6,030.00","0.23K","0.55%"
"18.10.2022","5,997.00","5,995.75","5,997.00","5,995.75","0.04K","1.66%"
"17.10.2022","5,899.00","5,916.00","5,920.00","5,899.00","0.15K","0.54%"
"13.10.2022","5,867.14","5,700.01","5,867.14","5,700.01","0.27K","2.64%"
"12.10.2022","5,716.00","5,744.00","5,744.00","5,716.00","0.33K","-0.09%"
"11.10.2022","5,721.19","5,721.20","5,721.20","5,721.19","0.16K","-1.83%"
"10.10.2022","5,828.00","5,885.50","5,885.50","5,828.00","0.02K","-0.98%"
"07.10.2022","5,885.50","5,931.17","5,931.17","5,885.50","0.67K","-2.61%"
"06.10.2022","6,043.00","6,043.00","6,043.00","6,043.00","0.21K","-0.90%"
"05.10.2022","6,098.00","6,058.00","6,098.00","6,028.00","0.24K","1.44%"
"04.10.2022","6,011.28","5,909.35","6,055.00","5,909.35","1.42K","4.15%"
"03.10.2022","5,772.00","5,862.39","5,862.39","5,772.00","0.05K","0.03%"
"29.09.2022","5,770.00","5,815.00","5,850.85","5,770.00","0.70K","-0.96%"
"28.09.2022","5,826.00","5,836.00","5,836.00","5,808.66","0.38K","-2.40%"
"27.09.2022","5,969.50","5,969.50","5,969.50","5,969.50","0.03K","-0.04%"
"26.09.2022","5,971.84","5,971.84","5,971.84","5,971.84","0.28K","1.59%"
"23.09.2022","5,878.17","5,900.00","5,900.00","5,808.01","0.53K","-2.47%"
"22.09.2022","6,026.99","6,000.00","6,026.99","5,960.00","0.39K","-3.44%"
"21.09.2022","6,242.00","6,229.00","6,242.00","6,229.00","0.53K","-1.79%"
"15.09.2022","6,356.00","6,356.00","6,356.00","6,356.00","0.01K","-2.98%"
"13.09.2022","6,551.00","6,551.00","6,551.00","6,551.00","1.53K","-2.25%"
"12.09.2022","6,702.04","6,702.04","6,702.04","6,702.04","0.23K","0.49%"
"09.09.2022","6,669.69","6,675.00","6,675.00","6,669.69","0.02K","2.61%"
"08.09.2022","6,500.00","6,500.00","6,500.00","6,500.00","0.19K","0.68%"
"02.09.2022","6,455.90","6,540.00","6,550.00","6,455.90","0.46K","-1.41%"
"01.09.2022","6,548.47","6,548.47","6,548.47","6,548.47","0.55K","1.47%"
"31.08.2022","6,453.81","6,771.00","6,771.00","6,453.81","0.10K","-2.27%"
"30.08.2022","6,604.00","6,507.72","6,705.59","6,507.72","0.20K","1.48%"
"29.08.2022","6,507.72","6,599.00","6,599.00","6,507.72","0.03K","-1.40%"
"26.08.2022","6,600.00","6,807.59","6,807.59","6,760.00","0.03K","-2.29%"
"24.08.2022","6,755.00","6,755.00","6,755.00","6,755.00","0.14K","-2.53%"
"22.08.2022","6,930.01","7,029.01","7,029.01","6,930.01","0.18K","-3.23%"
"19.08.2022","7,161.00","7,162.00","7,162.00","7,161.00","0.04K","0.86%"
"17.08.2022","7,100.00","7,100.00","7,100.00","7,100.00","0.13K","-0.39%"
"16.08.2022","7,127.59","7,149.25","7,179.98","7,100.00","0.55K","-0.73%"
"15.08.2022","7,180.00","7,030.00","7,180.00","7,030.00","1.12K","2.13%"
"12.08.2022","7,030.00","6,978.00","7,030.00","6,978.00","2.45K","-0.57%"
"11.08.2022","7,070.00","7,070.00","7,070.00","7,070.00","0.01K","0.01%"
"10.08.2022","7,069.16","7,031.00","7,069.16","7,031.00","0.27K","0.80%"
"09.08.2022","7,013.10","7,013.10","7,013.10","7,013.10","0.39K","-1.79%"
"08.08.2022","7,141.00","7,179.50","7,180.00","7,141.00","12.66K","-2.04%"
"05.08.2022","7,290.00","7,305.48","7,305.48","7,238.00","0.16K","0.86%"
"04.08.2022","7,228.00","7,266.00","7,266.00","7,228.00","0.35K","-0.73%"
"03.08.2022","7,281.00","7,378.69","7,378.69","7,280.00","1.13K","1.13%"
"02.08.2022","7,200.00","7,206.00","7,206.00","7,200.00","0.32K","-0.41%"
"29.07.2022","7,230.00","7,156.00","7,230.00","7,092.81","4.94K","1.05%"
"28.07.2022","7,155.00","7,167.99","7,167.99","7,138.00","0.23K","2.10%"
"27.07.2022","7,008.00","7,110.04","7,127.50","6,935.45","11.86K","0.67%"
"26.07.2022","6,961.20","6,990.23","6,990.23","6,952.40","0.20K","-0.88%"
"25.07.2022","7,023.20","7,019.42","7,025.02","7,019.42","0.23K","0.41%"
"22.07.2022","6,994.51","7,105.19","7,105.19","6,994.51","0.03K","-1.90%"
"21.07.2022","7,130.00","7,055.21","7,130.00","7,055.21","1.28K","1.57%"
"20.07.2022","7,020.00","6,994.00","7,020.00","6,994.00","0.06K","3.16%"
"18.07.2022","6,805.00","6,899.99","6,899.99","6,805.00","0.04K","-0.80%"
"15.07.2022","6,859.99","6,859.00","6,860.00","6,818.88","0.23K","0.72%"
"14.07.2022","6,810.63","6,810.63","6,810.63","6,810.63","0.13K","1.48%"
"13.07.2022","6,710.98","6,673.23","6,715.00","6,667.54","1.98K","-0.02%"
"11.07.2022","6,712.12","6,716.00","6,716.00","6,705.00","0.73K","0.86%"
"07.07.2022","6,655.00","6,628.00","6,655.00","6,622.00","0.25K","0.41%"
"06.07.2022","6,628.00","6,654.79","6,654.79","6,628.00","0.04K","0.91%"
"05.07.2022","6,568.00","6,568.00","6,568.00","6,568.00","0.05K","2.38%"
"01.07.2022","6,415.44","6,380.00","6,422.00","6,361.00","0.20K","2.16%"
"30.06.2022","6,280.00","6,280.00","6,280.00","6,280.00","0.01K","-4.03%"
