"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","4,654.00","4,616.00","4,667.45","4,616.00","1.11K","-1.13%"
"29.12.2022","4,707.00","4,650.00","4,707.00","4,641.00","5.66K","3.28%"
"28.12.2022","4,557.62","4,585.35","4,593.00","4,557.62","5.90K","-1.26%"
"27.12.2022","4,616.00","4,600.00","4,630.00","4,600.00","8.85K","0.24%"
"23.12.2022","4,605.00","4,589.00","4,620.00","4,583.04","2.54K","-0.75%"
"22.12.2022","4,639.71","4,690.45","4,690.45","4,589.00","10.68K","-3.20%"
"21.12.2022","4,792.92","4,793.15","4,825.00","4,790.00","1.84K","0.06%"
"20.12.2022","4,789.85","4,751.85","4,798.40","4,739.00","42.93K","1.11%"
"19.12.2022","4,737.31","4,848.85","4,848.85","4,719.50","21.43K","-2.30%"
"16.12.2022","4,848.85","4,877.50","4,877.50","4,815.32","21.55K","-1.51%"
"15.12.2022","4,923.07","5,006.90","5,006.90","4,886.53","1.81K","-2.34%"
"14.12.2022","5,040.90","5,075.00","5,166.25","5,040.90","2.74K","0.53%"
"13.12.2022","5,014.29","4,980.00","5,182.00","4,974.00","10.05K","2.96%"
"09.12.2022","4,870.00","4,856.35","4,895.00","4,856.35","2.46K","0.39%"
"08.12.2022","4,850.95","4,851.00","4,869.00","4,836.09","7.80K","0.85%"
"07.12.2022","4,810.00","4,823.00","4,851.96","4,774.30","1.70K","-0.27%"
"06.12.2022","4,823.00","4,887.40","4,896.17","4,823.00","1.18K","-1.65%"
"05.12.2022","4,904.16","4,990.00","4,994.44","4,902.17","3.54K","-0.46%"
"02.12.2022","4,927.00","4,862.77","4,953.00","4,862.30","3.35K","0.65%"
"01.12.2022","4,895.00","4,880.00","4,900.58","4,822.00","1.40K","0.18%"
"30.11.2022","4,886.41","4,679.20","4,900.00","4,672.01","2.48K","5.78%"
"29.11.2022","4,619.50","4,632.00","4,632.00","4,593.00","3.67K","-0.68%"
"28.11.2022","4,651.00","4,760.00","4,760.00","4,651.00","3.05K","-2.86%"
"25.11.2022","4,788.00","4,819.40","4,819.40","4,775.29","1.20K","0.35%"
"24.11.2022","4,771.22","4,771.22","4,771.22","4,771.22","0.02K","-0.18%"
"23.11.2022","4,780.04","4,750.00","4,800.00","4,740.00","1.68K","0.67%"
"22.11.2022","4,748.00","4,750.00","4,750.00","4,700.01","6.35K","1.71%"
"18.11.2022","4,667.98","4,661.00","4,748.99","4,661.00","5.40K","-0.10%"
"17.11.2022","4,672.76","4,670.00","4,726.56","4,618.64","4.45K","-0.22%"
"16.11.2022","4,682.94","4,705.00","4,705.00","4,654.92","11.31K","-0.17%"
"15.11.2022","4,691.10","4,754.66","4,764.70","4,664.39","16.02K","0.11%"
"14.11.2022","4,686.00","4,698.00","4,723.00","4,686.00","8.09K","-2.87%"
"11.11.2022","4,824.48","4,720.00","4,828.30","4,692.02","12.43K","2.68%"
"10.11.2022","4,698.46","4,590.00","4,700.00","4,570.00","6.22K","6.76%"
"09.11.2022","4,400.98","4,500.00","4,500.00","4,390.02","2.10K","-1.75%"
"08.11.2022","4,479.34","4,441.00","4,508.59","4,430.00","8.84K","1.12%"
"07.11.2022","4,429.92","4,345.00","4,437.00","4,343.25","5.51K","2.84%"
"04.11.2022","4,307.64","4,189.00","4,309.46","4,189.00","10.40K","2.20%"
"03.11.2022","4,214.93","4,350.00","4,350.00","4,207.00","9.75K","-6.51%"
"01.11.2022","4,508.59","4,598.34","4,598.34","4,499.00","11.18K","-1.95%"
"31.10.2022","4,598.34","4,635.00","4,635.00","4,561.02","3.43K","-1.62%"
"28.10.2022","4,674.21","4,571.00","4,700.00","4,560.18","7.37K","3.82%"
"27.10.2022","4,502.31","4,601.00","4,605.50","4,490.82","15.91K","-2.34%"
"26.10.2022","4,610.13","4,592.00","4,733.35","4,574.72","31.06K","-7.31%"
"25.10.2022","4,973.60","4,932.74","4,980.00","4,928.93","9.91K","1.03%"
"24.10.2022","4,922.83","4,881.00","4,932.75","4,834.11","3.54K","1.99%"
"21.10.2022","4,826.99","4,714.00","4,830.00","4,714.00","1.11K","1.38%"
"20.10.2022","4,761.28","4,803.50","4,821.22","4,715.53","6.35K","0.37%"
"19.10.2022","4,743.64","4,795.00","4,795.00","4,723.50","5.42K","-0.67%"
"18.10.2022","4,775.45","4,795.00","4,862.00","4,746.74","8.09K","0.54%"
"17.10.2022","4,750.03","4,750.55","4,758.40","4,703.00","2.76K","3.37%"
"14.10.2022","4,595.03","4,737.12","4,737.13","4,565.01","4.99K","-1.90%"
"13.10.2022","4,684.05","4,428.10","4,711.08","4,428.10","3.04K","3.51%"
"12.10.2022","4,525.02","4,477.86","4,546.40","4,477.86","4.92K","0.12%"
"11.10.2022","4,519.62","4,535.00","4,569.58","4,500.00","5.79K","-1.46%"
"10.10.2022","4,586.39","4,650.00","4,650.00","4,542.00","8.37K","-2.00%"
"07.10.2022","4,679.97","4,800.05","4,800.05","4,679.97","12.88K","-5.89%"
"06.10.2022","4,972.74","5,026.00","5,026.00","4,955.01","3.61K","-0.72%"
"05.10.2022","5,008.83","4,949.00","5,012.82","4,920.38","6.26K","1.10%"
"04.10.2022","4,954.52","4,913.40","4,997.13","4,904.81","16.20K","2.57%"
"03.10.2022","4,830.49","4,745.80","4,836.00","4,725.69","2.43K","2.38%"
"30.09.2022","4,718.19","4,789.00","4,865.31","4,690.00","3.20K","-2.17%"
"29.09.2022","4,822.99","4,790.00","4,822.99","4,740.00","3.81K","-0.71%"
"28.09.2022","4,857.44","4,783.00","4,884.99","4,783.00","6.06K","0.87%"
"27.09.2022","4,815.49","4,853.00","4,914.00","4,780.01","3.68K","-0.86%"
"26.09.2022","4,857.28","4,849.99","4,892.50","4,847.34","7.83K","1.26%"
"23.09.2022","4,796.82","4,800.00","4,843.31","4,766.09","14.07K","-0.97%"
"22.09.2022","4,843.62","4,745.00","4,858.50","4,745.00","27.75K","0.96%"
"21.09.2022","4,797.77","4,875.00","4,921.99","4,790.97","12.91K","-1.04%"
"20.09.2022","4,848.02","4,835.00","4,863.87","4,800.00","3.14K","-0.09%"
"19.09.2022","4,852.44","4,900.00","4,901.26","4,830.00","3.08K","-1.47%"
"15.09.2022","4,925.04","4,987.50","4,992.99","4,907.00","3.98K","-1.84%"
"14.09.2022","5,017.50","5,050.01","5,116.19","4,995.02","1.49K","-0.92%"
"13.09.2022","5,064.24","5,206.00","5,206.00","5,061.02","7.56K","-4.27%"
"12.09.2022","5,289.96","5,263.46","5,296.00","5,255.01","5.30K","0.47%"
"09.09.2022","5,265.00","5,233.40","5,269.00","5,209.68","8.40K","2.79%"
"08.09.2022","5,122.00","5,167.20","5,210.30","5,117.00","1.62K","-0.78%"
"07.09.2022","5,162.45","5,120.00","5,194.01","5,080.50","3.93K","1.37%"
"06.09.2022","5,092.59","5,125.01","5,167.00","5,088.06","2.97K","-0.71%"
"02.09.2022","5,128.94","5,220.00","5,281.00","5,100.00","8.94K","-1.74%"
"01.09.2022","5,220.01","5,316.99","5,316.99","5,160.01","8.50K","-1.36%"
"31.08.2022","5,291.90","5,353.00","5,365.00","5,274.54","1.14K","-0.05%"
"30.08.2022","5,294.34","5,321.28","5,390.74","5,263.50","4.63K","-0.57%"
"29.08.2022","5,324.84","5,324.22","5,330.87","5,285.80","29.70K","-1.27%"
"26.08.2022","5,393.51","5,590.00","5,590.00","5,399.72","5.71K","-3.67%"
"25.08.2022","5,598.98","5,516.29","5,598.98","5,492.00","2.52K","1.81%"
"24.08.2022","5,499.24","5,520.00","5,520.00","5,487.00","1.74K","-0.38%"
"23.08.2022","5,520.00","5,553.74","5,561.40","5,520.00","4.13K","-1.39%"
"22.08.2022","5,598.00","5,756.00","5,756.00","5,595.08","5.01K","-3.00%"
"19.08.2022","5,771.11","5,810.50","5,810.50","5,755.01","2.53K","-1.57%"
"18.08.2022","5,863.00","5,815.00","5,865.38","5,813.00","2.88K","0.74%"
"17.08.2022","5,820.00","5,832.00","5,853.55","5,820.00","1.36K","-0.26%"
"16.08.2022","5,835.00","5,839.77","5,840.00","5,795.24","9.73K","0.00%"
"15.08.2022","5,834.98","5,790.78","5,847.47","5,766.00","8.72K","1.06%"
"12.08.2022","5,773.77","5,711.00","5,796.99","5,711.00","3.52K","0.67%"
"11.08.2022","5,735.30","5,797.62","5,797.62","5,728.93","2.65K","-1.07%"
