"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"09.12.2022","3,356.80","3,375.02","3,492.36","3,356.80","2.02K","-0.19%"
"08.12.2022","3,363.24","3,187.77","3,365.00","3,187.77","6.97K","6.26%"
"07.12.2022","3,165.11","3,158.70","3,170.00","3,111.91","1.35K","0.60%"
"06.12.2022","3,146.30","3,256.00","3,256.00","3,135.00","5.64K","-3.59%"
"05.12.2022","3,263.33","3,301.00","3,345.00","3,260.09","3.47K","0.73%"
"02.12.2022","3,239.81","3,185.00","3,279.00","3,168.51","0.54K","-1.82%"
"01.12.2022","3,299.95","3,239.00","3,300.53","3,202.01","5.52K","1.87%"
"30.11.2022","3,239.50","3,010.02","3,255.00","3,010.02","2.19K","7.80%"
"29.11.2022","3,005.00","3,005.00","3,021.50","2,964.51","0.50K","-1.13%"
"28.11.2022","3,039.29","3,145.39","3,149.99","3,035.01","0.86K","-3.55%"
"25.11.2022","3,151.00","3,150.00","3,183.45","3,141.50","0.91K","-0.97%"
"24.11.2022","3,182.00","3,182.00","3,182.00","3,182.00","0.02K","0.13%"
"23.11.2022","3,177.79","3,120.00","3,199.62","3,120.00","2.57K","2.36%"
"22.11.2022","3,104.58","3,025.00","3,115.00","3,025.00","2.07K","3.83%"
"18.11.2022","2,990.05","3,050.01","3,058.00","2,952.65","5.59K","-1.14%"
"17.11.2022","3,024.38","3,100.00","3,159.99","3,000.02","10.25K","-1.86%"
"16.11.2022","3,081.83","3,199.99","3,199.99","3,068.00","8.91K","-4.42%"
"15.11.2022","3,224.28","3,250.00","3,279.00","3,200.00","27.60K","1.56%"
"14.11.2022","3,174.74","3,178.00","3,200.00","3,130.00","3.45K","-0.12%"
"11.11.2022","3,178.49","3,055.99","3,190.00","3,055.99","13.19K","4.84%"
"10.11.2022","3,031.87","2,872.00","3,044.00","2,850.00","7.67K","12.29%"
"09.11.2022","2,700.00","2,779.98","2,779.98","2,699.00","4.78K","-5.33%"
"08.11.2022","2,852.01","2,875.00","2,879.99","2,792.00","7.22K","2.44%"
"07.11.2022","2,784.01","2,760.00","2,790.00","2,727.00","2.11K","0.87%"
"04.11.2022","2,760.00","2,709.00","2,760.00","2,685.00","2.56K","3.90%"
"03.11.2022","2,656.32","2,670.00","2,690.00","2,565.00","7.02K","-0.75%"
"01.11.2022","2,676.35","2,673.13","2,730.00","2,670.00","19.90K","-0.01%"
"31.10.2022","2,676.55","2,735.00","2,735.00","2,640.00","76.44K","-2.03%"
"28.10.2022","2,732.12","2,650.00","2,740.00","2,646.70","92.85K","4.28%"
"27.10.2022","2,620.00","2,691.00","2,750.00","2,618.01","2.30K","1.59%"
"26.10.2022","2,578.93","2,532.00","2,650.00","2,532.00","4.94K","-1.94%"
"25.10.2022","2,629.84","2,550.00","2,639.98","2,550.00","15.93K","4.78%"
"24.10.2022","2,509.95","2,500.00","2,509.95","2,410.00","2.51K","1.04%"
"21.10.2022","2,484.04","2,445.00","2,485.10","2,402.00","1.50K","1.60%"
"20.10.2022","2,445.00","2,485.00","2,555.00","2,435.00","0.78K","1.49%"
"19.10.2022","2,409.00","2,480.00","2,480.00","2,409.00","4.04K","2.29%"
"18.10.2022","2,355.04","2,405.01","2,480.00","2,341.00","3.16K","-1.13%"
"17.10.2022","2,382.00","2,300.00","2,389.96","2,300.00","6.41K","5.34%"
"14.10.2022","2,261.32","2,415.00","2,425.00","2,260.00","2.46K","-5.50%"
"13.10.2022","2,393.00","2,280.00","2,409.98","2,188.00","2.88K","4.00%"
"12.10.2022","2,301.00","2,345.00","2,345.00","2,289.88","3.84K","0.33%"
"11.10.2022","2,293.43","2,286.01","2,351.71","2,260.50","1.63K","-2.41%"
"10.10.2022","2,350.00","2,420.00","2,420.00","2,280.00","1.07K","-3.11%"
"07.10.2022","2,425.42","2,545.00","2,545.00","2,420.00","7.22K","-8.13%"
"06.10.2022","2,640.00","2,693.00","2,740.00","2,640.00","5.58K","-0.43%"
"05.10.2022","2,651.28","2,594.27","2,660.00","2,544.00","0.37K","1.43%"
