"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"28.12.2022","21,652.62","21,652.62","21,652.62","21,652.62","2.78K","-2.12%"
"21.12.2022","22,122.38","22,122.38","22,122.38","22,122.38","0.04K","-1.20%"
"19.12.2022","22,391.19","22,300.00","22,516.90","22,300.00","0.30K","0.90%"
"16.12.2022","22,191.67","22,191.67","22,191.67","22,191.67","0.02K","-3.34%"
"13.12.2022","22,958.02","22,200.00","22,958.02","22,200.00","0.04K","4.74%"
"02.12.2022","21,918.70","21,918.70","21,918.70","21,918.70","0.01K","-1.43%"
"18.11.2022","22,237.00","22,237.00","22,237.00","22,237.00","0.01K","-1.55%"
"16.11.2022","22,586.88","22,586.88","22,586.88","22,586.88","0.01K","-2.01%"
"15.11.2022","23,049.13","23,049.13","23,049.13","23,049.13","0.01K","3.11%"
"14.11.2022","22,353.28","22,353.28","22,353.28","22,353.28","0.01K","1.15%"
"11.11.2022","22,099.46","23,007.28","23,007.28","22,099.46","0.02K","7.16%"
"01.11.2022","20,623.38","20,617.16","20,623.38","20,617.16","0.05K","4.68%"
"24.10.2022","19,701.48","19,510.09","19,701.48","19,510.09","0.17K","1.19%"
"21.10.2022","19,470.18","19,470.18","19,470.18","19,470.18","0.11K","-0.29%"
"20.10.2022","19,525.99","19,525.99","19,525.99","19,525.99","0.27K","1.04%"
"19.10.2022","19,324.98","19,324.98","19,324.98","19,324.98","0.10K","2.79%"
"13.10.2022","18,801.26","18,801.26","18,801.26","18,801.26","0.02K","-3.07%"
"12.10.2022","19,395.96","19,395.96","19,395.96","19,395.96","0.02K","4.82%"
"29.09.2022","18,504.21","18,504.21","18,504.21","18,504.21","0.05K","-1.62%"
"28.09.2022","18,809.08","18,809.08","18,809.08","18,809.08","0.04K","-6.17%"
"15.09.2022","20,044.91","20,024.08","20,044.91","20,024.08","3.67K","-1.48%"
"09.09.2022","20,345.54","20,345.54","20,345.54","20,345.54","0.25K","0.83%"
"07.09.2022","20,178.49","20,178.49","20,178.49","20,178.49","0.04K","-5.89%"
"30.08.2022","21,440.25","21,440.25","21,440.25","21,440.25","0.01K","-1.95%"
"24.08.2022","21,866.00","21,866.00","21,866.00","21,866.00","0.07K","-4.48%"
"16.08.2022","22,891.09","22,891.09","22,891.09","22,891.09","0.01K","-0.47%"
"15.08.2022","23,000.00","23,000.00","23,000.00","23,000.00","0.09K","-2.64%"
"29.07.2022","23,623.49","23,626.27","23,626.27","23,623.49","0.20K","-2.38%"
"28.07.2022","24,198.57","24,292.26","24,292.26","24,198.57","0.94K","0.90%"
"26.07.2022","23,981.85","23,981.85","23,981.85","23,981.85","0.06K","-0.11%"
"19.07.2022","24,009.20","24,009.20","24,009.20","24,009.20","0.04K","0.52%"
"18.07.2022","23,884.32","24,110.77","24,110.77","23,884.32","0.06K","4.77%"
