"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"12.04.2023","3,316.03","3,457.00","3,457.00","3,295.03","1.96K","-2.37%"
"11.04.2023","3,396.47","3,368.00","3,436.98","3,368.00","198.85K","1.43%"
"10.04.2023","3,348.68","3,360.00","3,365.74","3,225.01","14.99K","-1.51%"
"05.04.2023","3,400.16","3,517.00","3,517.00","3,375.00","6.63K","-2.12%"
"04.04.2023","3,473.66","3,530.00","3,594.37","3,454.39","288.99K","-1.25%"
"03.04.2023","3,517.71","3,700.00","3,700.00","3,481.00","12.49K","-5.53%"
"31.03.2023","3,723.46","3,540.00","3,743.27","3,540.00","105.14K","5.05%"
"30.03.2023","3,544.61","3,529.99","3,567.00","3,518.91","6.80K","1.25%"
"29.03.2023","3,500.88","3,500.00","3,544.00","3,440.01","12.54K","1.64%"
"28.03.2023","3,444.31","3,514.98","3,515.03","3,385.40","98.67K","-2.41%"
"27.03.2023","3,529.45","3,564.00","3,615.22","3,490.27","94.87K","0.81%"
"24.03.2023","3,500.97","3,571.02","3,571.03","3,477.82","351.82K","-2.32%"
"23.03.2023","3,584.00","3,615.00","3,699.99","3,515.00","309.35K","0.19%"
"22.03.2023","3,577.35","3,678.87","3,717.11","3,550.00","312.13K","-2.67%"
"21.03.2023","3,675.38","3,450.93","3,686.00","3,450.93","584.76K","8.10%"
"17.03.2023","3,400.08","3,467.58","3,470.00","3,364.78","5.74K","-1.46%"
"16.03.2023","3,450.32","3,424.99","3,504.98","3,420.99","179.12K","1.40%"
"15.03.2023","3,402.72","3,403.02","3,448.97","3,360.06","13.51K","0.50%"
"14.03.2023","3,385.91","3,319.98","3,425.00","3,319.98","192.39K","2.30%"
"13.03.2023","3,309.86","3,190.00","3,349.97","3,114.00","8.23K","3.22%"
