"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"30.12.2022","3.121","3.121","3.121","3.121","-0.18%"
"29.12.2022","3.127","3.127","3.127","3.127","-0.14%"
"28.12.2022","3.131","3.131","3.131","3.131","-0.15%"
"27.12.2022","3.136","3.136","3.136","3.136","0.03%"
"26.12.2022","3.135","3.135","3.135","3.135","-0.14%"
"23.12.2022","3.140","3.140","3.140","3.140","-0.08%"
"22.12.2022","3.142","3.142","3.142","3.142","0.12%"
"21.12.2022","3.138","3.138","3.138","3.138","-0.12%"
"20.12.2022","3.142","3.142","3.142","3.142","-0.24%"
"19.12.2022","3.150","3.150","3.150","3.150","-0.09%"
"16.12.2022","3.153","3.153","3.153","3.153","-0.13%"
"15.12.2022","3.157","3.157","3.157","3.157","0.09%"
"14.12.2022","3.154","3.154","3.154","3.154","0.69%"
"13.12.2022","3.132","3.132","3.132","3.132","0.14%"
"09.12.2022","3.128","3.128","3.128","3.128","0.18%"
"08.12.2022","3.122","3.122","3.122","3.122","0.60%"
"07.12.2022","3.104","3.104","3.104","3.104","0.08%"
"06.12.2022","3.101","3.101","3.101","3.101","-0.30%"
"05.12.2022","3.111","3.111","3.111","3.111","0.31%"
"02.12.2022","3.101","3.101","3.101","3.101","0.68%"
"01.12.2022","3.080","3.080","3.080","3.080","0.29%"
"30.11.2022","3.071","3.071","3.071","3.071","-0.12%"
"29.11.2022","3.075","3.075","3.075","3.075","-0.38%"
"28.11.2022","3.086","3.086","3.086","3.086","-0.10%"
"25.11.2022","3.089","3.089","3.089","3.089","0.07%"
"24.11.2022","3.087","3.087","3.087","3.087","0.07%"
"23.11.2022","3.085","3.085","3.085","3.085","0.23%"
"22.11.2022","3.078","3.078","3.078","3.078","0.09%"
"18.11.2022","3.075","3.075","3.075","3.075","-0.53%"
"17.11.2022","3.092","3.092","3.092","3.092","0.07%"
"16.11.2022","3.089","3.089","3.089","3.089","0.22%"
"15.11.2022","3.083","3.083","3.083","3.083","-0.10%"
"14.11.2022","3.086","3.086","3.086","3.086","1.50%"
"10.11.2022","3.040","3.040","3.040","3.040","0.40%"
"09.11.2022","3.028","3.028","3.028","3.028","0.34%"
"08.11.2022","3.018","3.018","3.018","3.018","0.05%"
"07.11.2022","3.016","3.016","3.016","3.016","0.25%"
"04.11.2022","3.009","3.009","3.009","3.009","-0.12%"
"03.11.2022","3.012","3.012","3.012","3.012","0.17%"
"01.11.2022","3.007","3.007","3.007","3.007","-0.29%"
"31.10.2022","3.016","3.016","3.016","3.016","0.06%"
"28.10.2022","3.014","3.014","3.014","3.014","0.26%"
"27.10.2022","3.006","3.006","3.006","3.006","0.40%"
"26.10.2022","2.994","2.994","2.994","2.994","0.24%"
"25.10.2022","2.987","2.987","2.987","2.987","-0.09%"
"24.10.2022","2.990","2.990","2.990","2.990","0.34%"
"21.10.2022","2.980","2.980","2.980","2.980","-0.08%"
"20.10.2022","2.982","2.982","2.982","2.982","-0.16%"
"19.10.2022","2.987","2.987","2.987","2.987","0.00%"
"18.10.2022","2.987","2.987","2.987","2.987","0.17%"
"17.10.2022","2.982","2.982","2.982","2.982","-0.08%"
"14.10.2022","2.985","2.985","2.985","2.985","-0.21%"
"13.10.2022","2.991","2.991","2.991","2.991","0.15%"
"12.10.2022","2.987","2.987","2.987","2.987","-0.03%"
"11.10.2022","2.987","2.987","2.987","2.987","-0.28%"
"10.10.2022","2.996","2.996","2.996","2.996","0.08%"
"07.10.2022","2.993","2.993","2.993","2.993","-0.18%"
"06.10.2022","2.999","2.999","2.999","2.999","0.41%"
"03.10.2022","2.987","2.987","2.987","2.987","0.08%"
"30.09.2022","2.984","2.984","2.984","2.984","-0.12%"
"29.09.2022","2.988","2.988","2.988","2.988","0.55%"
"28.09.2022","2.972","2.972","2.972","2.972","-0.10%"
"27.09.2022","2.974","2.974","2.974","2.974","-0.78%"
"26.09.2022","2.998","2.998","2.998","2.998","-0.09%"
"23.09.2022","3.001","3.001","3.001","3.001","0.00%"
"22.09.2022","3.001","3.001","3.001","3.001","-0.13%"
"21.09.2022","3.005","3.005","3.005","3.005","-0.19%"
"20.09.2022","3.010","3.010","3.010","3.010","-0.04%"
"19.09.2022","3.011","3.011","3.011","3.011","-0.24%"
"15.09.2022","3.019","3.019","3.019","3.019","-0.21%"
"14.09.2022","3.025","3.025","3.025","3.025","-0.63%"
"13.09.2022","3.044","3.044","3.044","3.044","0.12%"
"12.09.2022","3.041","3.041","3.041","3.041","0.24%"
"09.09.2022","3.033","3.033","3.033","3.033","0.14%"
"08.09.2022","3.029","3.029","3.029","3.029","0.15%"
"07.09.2022","3.025","3.025","3.025","3.025","-0.35%"
"06.09.2022","3.035","3.035","3.035","3.035","0.03%"
"05.09.2022","3.035","3.035","3.035","3.035","0.50%"
"02.09.2022","3.019","3.019","3.019","3.019","-0.22%"
"01.09.2022","3.026","3.026","3.026","3.026","0.14%"
"31.08.2022","3.022","3.022","3.022","3.022","-0.26%"
"30.08.2022","3.030","3.030","3.030","3.030","-0.24%"
"29.08.2022","3.037","3.037","3.037","3.037","-0.27%"
"26.08.2022","3.045","3.045","3.045","3.045","0.16%"
"25.08.2022","3.040","3.040","3.040","3.040","-0.14%"
"24.08.2022","3.044","3.044","3.044","3.044","0.00%"
"23.08.2022","3.045","3.045","3.045","3.045","-0.12%"
"22.08.2022","3.048","3.048","3.048","3.048","-0.38%"
"19.08.2022","3.060","3.060","3.060","3.060","-0.26%"
"18.08.2022","3.068","3.068","3.068","3.068","-0.21%"
"17.08.2022","3.074","3.074","3.074","3.074","0.03%"
"16.08.2022","3.074","3.074","3.074","3.074","0.11%"
"15.08.2022","3.070","3.070","3.070","3.070","0.03%"
"12.08.2022","3.069","3.069","3.069","3.069","-0.14%"
"11.08.2022","3.074","3.074","3.074","3.074","0.40%"
"10.08.2022","3.062","3.062","3.062","3.062","-0.44%"
"09.08.2022","3.075","3.075","3.075","3.075","0.21%"
"08.08.2022","3.069","3.069","3.069","3.069","-0.06%"
"05.08.2022","3.071","3.071","3.071","3.071","0.07%"
"04.08.2022","3.069","3.069","3.069","3.069","0.21%"
"03.08.2022","3.062","3.062","3.062","3.062","-0.31%"
"02.08.2022","3.072","3.072","3.072","3.072","0.38%"
"01.08.2022","3.060","3.060","3.060","3.060","0.45%"
"29.07.2022","3.046","3.046","3.046","3.046","0.71%"
"28.07.2022","3.025","3.025","3.025","3.025","0.03%"
"27.07.2022","3.024","3.024","3.024","3.024","0.02%"
"26.07.2022","3.023","3.023","3.023","3.023","0.27%"
"25.07.2022","3.015","3.015","3.015","3.015","0.81%"
"22.07.2022","2.991","2.991","2.991","2.991","0.34%"
"21.07.2022","2.981","2.981","2.981","2.981","0.07%"
"20.07.2022","2.979","2.979","2.979","2.979","-0.19%"
"19.07.2022","2.984","2.984","2.984","2.984","-0.14%"
"18.07.2022","2.988","2.988","2.988","2.988","0.18%"
"15.07.2022","2.983","2.983","2.983","2.983","-0.10%"
"14.07.2022","2.986","2.986","2.986","2.986","-0.02%"
"13.07.2022","2.987","2.987","2.987","2.987","-0.04%"
"12.07.2022","2.988","2.988","2.988","2.988","-0.07%"
"11.07.2022","2.990","2.990","2.990","2.990","0.09%"
