"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"30.12.2022","2.615","2.615","2.615","2.615","-0.19%"
"29.12.2022","2.620","2.620","2.620","2.620","-0.14%"
"28.12.2022","2.624","2.624","2.624","2.624","-0.15%"
"27.12.2022","2.628","2.628","2.628","2.628","0.02%"
"26.12.2022","2.627","2.627","2.627","2.627","-0.15%"
"23.12.2022","2.631","2.631","2.631","2.631","-0.09%"
"22.12.2022","2.634","2.634","2.634","2.634","0.12%"
"21.12.2022","2.631","2.631","2.631","2.631","-0.12%"
"20.12.2022","2.634","2.634","2.634","2.634","-0.24%"
"19.12.2022","2.640","2.640","2.640","2.640","-0.10%"
"16.12.2022","2.643","2.643","2.643","2.643","-0.14%"
"15.12.2022","2.646","2.646","2.646","2.646","0.09%"
"14.12.2022","2.644","2.644","2.644","2.644","0.68%"
"13.12.2022","2.626","2.626","2.626","2.626","0.13%"
"09.12.2022","2.623","2.623","2.623","2.623","0.18%"
"08.12.2022","2.618","2.618","2.618","2.618","0.60%"
"07.12.2022","2.602","2.602","2.602","2.602","0.08%"
"06.12.2022","2.600","2.600","2.600","2.600","-0.31%"
"05.12.2022","2.608","2.608","2.608","2.608","0.30%"
"02.12.2022","2.600","2.600","2.600","2.600","0.67%"
"01.12.2022","2.583","2.583","2.583","2.583","0.29%"
"30.11.2022","2.576","2.576","2.576","2.576","-0.12%"
"29.11.2022","2.579","2.579","2.579","2.579","-0.38%"
"28.11.2022","2.589","2.589","2.589","2.589","-0.11%"
"25.11.2022","2.591","2.591","2.591","2.591","0.07%"
"24.11.2022","2.589","2.589","2.589","2.589","0.07%"
"23.11.2022","2.588","2.588","2.588","2.588","0.23%"
"22.11.2022","2.582","2.582","2.582","2.582","0.08%"
"18.11.2022","2.580","2.580","2.580","2.580","-0.53%"
"17.11.2022","2.594","2.594","2.594","2.594","0.07%"
"16.11.2022","2.592","2.592","2.592","2.592","0.21%"
"15.11.2022","2.586","2.586","2.586","2.586","-0.10%"
"14.11.2022","2.589","2.589","2.589","2.589","1.49%"
"10.11.2022","2.551","2.551","2.551","2.551","0.40%"
"09.11.2022","2.541","2.541","2.541","2.541","0.33%"
"08.11.2022","2.532","2.532","2.532","2.532","0.05%"
