"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"30.12.2022","2.686","2.686","2.686","2.686","-0.19%"
"29.12.2022","2.691","2.691","2.691","2.691","-0.14%"
"28.12.2022","2.695","2.695","2.695","2.695","-0.15%"
"27.12.2022","2.699","2.699","2.699","2.699","0.03%"
"26.12.2022","2.698","2.698","2.698","2.698","-0.15%"
"23.12.2022","2.702","2.702","2.702","2.702","-0.08%"
"22.12.2022","2.705","2.705","2.705","2.705","0.12%"
"21.12.2022","2.701","2.701","2.701","2.701","-0.12%"
"20.12.2022","2.705","2.705","2.705","2.705","-0.24%"
"19.12.2022","2.711","2.711","2.711","2.711","-0.09%"
"16.12.2022","2.714","2.714","2.714","2.714","-0.14%"
"15.12.2022","2.717","2.717","2.717","2.717","0.09%"
"14.12.2022","2.715","2.715","2.715","2.715","0.68%"
"13.12.2022","2.697","2.697","2.697","2.697","0.13%"
"09.12.2022","2.693","2.693","2.693","2.693","0.18%"
"08.12.2022","2.688","2.688","2.688","2.688","0.60%"
"07.12.2022","2.672","2.672","2.672","2.672","0.08%"
"06.12.2022","2.670","2.670","2.670","2.670","-0.31%"
"05.12.2022","2.678","2.678","2.678","2.678","0.31%"
"02.12.2022","2.670","2.670","2.670","2.670","0.67%"
"01.12.2022","2.652","2.652","2.652","2.652","0.29%"
"30.11.2022","2.644","2.644","2.644","2.644","-0.12%"
"29.11.2022","2.647","2.647","2.647","2.647","-0.38%"
"28.11.2022","2.658","2.658","2.658","2.658","-0.10%"
"25.11.2022","2.660","2.660","2.660","2.660","0.07%"
"24.11.2022","2.658","2.658","2.658","2.658","0.07%"
"23.11.2022","2.657","2.657","2.657","2.657","0.23%"
"22.11.2022","2.651","2.651","2.651","2.651","0.08%"
"18.11.2022","2.648","2.648","2.648","2.648","-0.53%"
"17.11.2022","2.662","2.662","2.662","2.662","0.07%"
"16.11.2022","2.661","2.661","2.661","2.661","0.21%"
"15.11.2022","2.655","2.655","2.655","2.655","-0.10%"
"14.11.2022","2.657","2.657","2.657","2.657","1.49%"
"10.11.2022","2.618","2.618","2.618","2.618","0.40%"
"09.11.2022","2.608","2.608","2.608","2.608","0.33%"
"08.11.2022","2.599","2.599","2.599","2.599","0.05%"
"07.11.2022","2.598","2.598","2.598","2.598","0.25%"
"04.11.2022","2.592","2.592","2.592","2.592","-0.12%"
"03.11.2022","2.595","2.595","2.595","2.595","0.17%"
"01.11.2022","2.590","2.590","2.590","2.590","-0.29%"
"31.10.2022","2.598","2.598","2.598","2.598","0.06%"
"28.10.2022","2.596","2.596","2.596","2.596","0.26%"
"27.10.2022","2.590","2.590","2.590","2.590","0.40%"
