"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"30.12.2022","2.834","2.834","2.834","2.834","-0.19%"
"29.12.2022","2.839","2.839","2.839","2.839","-0.14%"
"28.12.2022","2.843","2.843","2.843","2.843","-0.15%"
"27.12.2022","2.847","2.847","2.847","2.847","0.03%"
"26.12.2022","2.847","2.847","2.847","2.847","-0.14%"
"23.12.2022","2.851","2.851","2.851","2.851","-0.08%"
"22.12.2022","2.853","2.853","2.853","2.853","0.12%"
"21.12.2022","2.850","2.850","2.850","2.850","-0.12%"
"20.12.2022","2.853","2.853","2.853","2.853","-0.24%"
"19.12.2022","2.860","2.860","2.860","2.860","-0.09%"
"16.12.2022","2.863","2.863","2.863","2.863","-0.14%"
"15.12.2022","2.867","2.867","2.867","2.867","0.09%"
"14.12.2022","2.864","2.864","2.864","2.864","0.68%"
"13.12.2022","2.845","2.845","2.845","2.845","0.14%"
"09.12.2022","2.841","2.841","2.841","2.841","0.18%"
"08.12.2022","2.836","2.836","2.836","2.836","0.60%"
"07.12.2022","2.819","2.819","2.819","2.819","0.08%"
"06.12.2022","2.817","2.817","2.817","2.817","-0.30%"
"05.12.2022","2.825","2.825","2.825","2.825","0.31%"
"02.12.2022","2.817","2.817","2.817","2.817","0.67%"
"01.12.2022","2.798","2.798","2.798","2.798","0.29%"
"30.11.2022","2.789","2.789","2.789","2.789","-0.12%"
"29.11.2022","2.793","2.793","2.793","2.793","-0.38%"
"28.11.2022","2.804","2.804","2.804","2.804","-0.10%"
"25.11.2022","2.806","2.806","2.806","2.806","0.07%"
"24.11.2022","2.804","2.804","2.804","2.804","0.07%"
"23.11.2022","2.802","2.802","2.802","2.802","0.23%"
"22.11.2022","2.796","2.796","2.796","2.796","0.09%"
"18.11.2022","2.794","2.794","2.794","2.794","-0.53%"
"17.11.2022","2.809","2.809","2.809","2.809","0.07%"
"16.11.2022","2.807","2.807","2.807","2.807","0.21%"
"15.11.2022","2.801","2.801","2.801","2.801","-0.10%"
"14.11.2022","2.803","2.803","2.803","2.803","1.50%"
"10.11.2022","2.762","2.762","2.762","2.762","0.40%"
"09.11.2022","2.751","2.751","2.751","2.751","0.33%"
"08.11.2022","2.742","2.742","2.742","2.742","0.05%"
"07.11.2022","2.741","2.741","2.741","2.741","0.25%"
"04.11.2022","2.734","2.734","2.734","2.734","-0.12%"
"03.11.2022","2.737","2.737","2.737","2.737","0.17%"
"01.11.2022","2.732","2.732","2.732","2.732","-0.29%"
"31.10.2022","2.740","2.740","2.740","2.740","0.06%"
"28.10.2022","2.739","2.739","2.739","2.739","0.26%"
"27.10.2022","2.732","2.732","2.732","2.732","0.40%"
"26.10.2022","2.721","2.721","2.721","2.721","0.24%"
"25.10.2022","2.714","2.714","2.714","2.714","-0.09%"
"24.10.2022","2.717","2.717","2.717","2.717","0.33%"
"21.10.2022","2.708","2.708","2.708","2.708","-0.08%"
"20.10.2022","2.710","2.710","2.710","2.710","-0.17%"
"19.10.2022","2.715","2.715","2.715","2.715","0.00%"
"18.10.2022","2.715","2.715","2.715","2.715","0.16%"
"17.10.2022","2.710","2.710","2.710","2.710","-0.08%"
"14.10.2022","2.713","2.713","2.713","2.713","-0.21%"
"13.10.2022","2.719","2.719","2.719","2.719","0.15%"
"12.10.2022","2.715","2.715","2.715","2.715","-0.03%"
"11.10.2022","2.715","2.715","2.715","2.715","-0.28%"
"10.10.2022","2.723","2.723","2.723","2.723","0.08%"
"07.10.2022","2.721","2.721","2.721","2.721","-0.18%"
"06.10.2022","2.726","2.726","2.726","2.726","0.41%"
"03.10.2022","2.715","2.715","2.715","2.715","0.07%"
"30.09.2022","2.713","2.713","2.713","2.713","-0.12%"
"29.09.2022","2.716","2.716","2.716","2.716","0.55%"
"28.09.2022","2.701","2.701","2.701","2.701","-0.10%"
"27.09.2022","2.704","2.704","2.704","2.704","-0.78%"
"26.09.2022","2.725","2.725","2.725","2.725","-0.10%"
"23.09.2022","2.728","2.728","2.728","2.728","0.00%"
"22.09.2022","2.728","2.728","2.728","2.728","-0.13%"
"21.09.2022","2.732","2.732","2.732","2.732","-0.19%"
"20.09.2022","2.737","2.737","2.737","2.737","-0.04%"
"19.09.2022","2.738","2.738","2.738","2.738","-0.25%"
"15.09.2022","2.745","2.745","2.745","2.745","-0.21%"
"14.09.2022","2.751","2.751","2.751","2.751","-0.63%"
"13.09.2022","2.768","2.768","2.768","2.768","0.12%"
"12.09.2022","2.765","2.765","2.765","2.765","0.23%"
"09.09.2022","2.758","2.758","2.758","2.758","0.14%"
"08.09.2022","2.755","2.755","2.755","2.755","0.15%"
"07.09.2022","2.751","2.751","2.751","2.751","-0.35%"
"06.09.2022","2.760","2.760","2.760","2.760","0.02%"
"05.09.2022","2.760","2.760","2.760","2.760","0.50%"
"02.09.2022","2.746","2.746","2.746","2.746","-0.22%"
"01.09.2022","2.752","2.752","2.752","2.752","0.14%"
"31.08.2022","2.748","2.748","2.748","2.748","-0.26%"
"30.08.2022","2.755","2.755","2.755","2.755","-0.24%"
"29.08.2022","2.762","2.762","2.762","2.762","-0.27%"
"26.08.2022","2.770","2.770","2.770","2.770","0.16%"
"25.08.2022","2.765","2.765","2.765","2.765","-0.14%"
"24.08.2022","2.769","2.769","2.769","2.769","0.00%"
"23.08.2022","2.769","2.769","2.769","2.769","-0.13%"
"22.08.2022","2.773","2.773","2.773","2.773","-0.39%"
"19.08.2022","2.783","2.783","2.783","2.783","-0.26%"
"18.08.2022","2.791","2.791","2.791","2.791","-0.21%"
"17.08.2022","2.796","2.796","2.796","2.796","0.02%"
"16.08.2022","2.796","2.796","2.796","2.796","0.11%"
"15.08.2022","2.793","2.793","2.793","2.793","0.02%"
"12.08.2022","2.792","2.792","2.792","2.792","-0.14%"
"11.08.2022","2.796","2.796","2.796","2.796","0.39%"
"10.08.2022","2.785","2.785","2.785","2.785","-0.44%"
"09.08.2022","2.797","2.797","2.797","2.797","0.21%"
"08.08.2022","2.792","2.792","2.792","2.792","-0.06%"
"05.08.2022","2.794","2.794","2.794","2.794","0.07%"
"04.08.2022","2.792","2.792","2.792","2.792","0.21%"
"03.08.2022","2.786","2.786","2.786","2.786","-0.31%"
"02.08.2022","2.795","2.795","2.795","2.795","0.38%"
"01.08.2022","2.784","2.784","2.784","2.784","0.44%"
"29.07.2022","2.772","2.772","2.772","2.772","0.71%"
"28.07.2022","2.752","2.752","2.752","2.752","0.03%"
"27.07.2022","2.751","2.751","2.751","2.751","0.00%"
"26.07.2022","2.751","2.751","2.751","2.751","0.27%"
"25.07.2022","2.743","2.743","2.743","2.743","0.81%"
"22.07.2022","2.721","2.721","2.721","2.721","0.34%"
"21.07.2022","2.712","2.712","2.712","2.712","0.06%"
"20.07.2022","2.710","2.710","2.710","2.710","-0.20%"
"19.07.2022","2.716","2.716","2.716","2.716","-0.14%"
"18.07.2022","2.719","2.719","2.719","2.719","0.18%"
"15.07.2022","2.715","2.715","2.715","2.715","-0.11%"
"14.07.2022","2.718","2.718","2.718","2.718","-0.02%"
"13.07.2022","2.718","2.718","2.718","2.718","-0.04%"
"12.07.2022","2.719","2.719","2.719","2.719","-0.07%"
"11.07.2022","2.721","2.721","2.721","2.721","0.08%"
"08.07.2022","2.719","2.719","2.719","2.719","0.00%"
"07.07.2022","2.718","2.718","2.718","2.718","-0.30%"
"06.07.2022","2.727","2.727","2.727","2.727","0.18%"
"05.07.2022","2.722","2.722","2.722","2.722","0.05%"
"04.07.2022","2.720","2.720","2.720","2.720","0.46%"
"01.07.2022","2.708","2.708","2.708","2.708","0.04%"
"30.06.2022","2.707","2.707","2.707","2.707","-0.11%"
"29.06.2022","2.710","2.710","2.710","2.710","-0.02%"
"28.06.2022","2.711","2.711","2.711","2.711","0.04%"
"27.06.2022","2.709","2.709","2.709","2.709","0.22%"
"24.06.2022","2.704","2.704","2.704","2.704","0.36%"
"23.06.2022","2.694","2.694","2.694","2.694","0.45%"
"22.06.2022","2.682","2.682","2.682","2.682","-0.07%"
"21.06.2022","2.684","2.684","2.684","2.684","0.02%"
"20.06.2022","2.683","2.683","2.683","2.683","0.14%"
"17.06.2022","2.679","2.679","2.679","2.679","0.00%"
"16.06.2022","2.679","2.679","2.679","2.679","0.21%"
"15.06.2022","2.674","2.674","2.674","2.674","-0.21%"
"14.06.2022","2.679","2.679","2.679","2.679","-0.64%"
"13.06.2022","2.697","2.697","2.697","2.697","-0.31%"
"10.06.2022","2.705","2.705","2.705","2.705","0.05%"
"09.06.2022","2.704","2.704","2.704","2.704","-0.21%"
"08.06.2022","2.709","2.709","2.709","2.709","0.00%"
"07.06.2022","2.709","2.709","2.709","2.709","-0.42%"
"06.06.2022","2.721","2.721","2.721","2.721","-0.11%"
"03.06.2022","2.723","2.723","2.723","2.723","0.02%"
"02.06.2022","2.723","2.723","2.723","2.723","-0.17%"
"01.06.2022","2.728","2.728","2.728","2.728","-0.31%"
