"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"30.12.2022","2.752","2.752","2.752","2.752","-0.19%"
"29.12.2022","2.757","2.757","2.757","2.757","-0.14%"
"28.12.2022","2.761","2.761","2.761","2.761","-0.15%"
"27.12.2022","2.765","2.765","2.765","2.765","0.02%"
"26.12.2022","2.765","2.765","2.765","2.765","-0.15%"
"23.12.2022","2.769","2.769","2.769","2.769","-0.09%"
"22.12.2022","2.771","2.771","2.771","2.771","0.12%"
"21.12.2022","2.768","2.768","2.768","2.768","-0.12%"
"20.12.2022","2.771","2.771","2.771","2.771","-0.24%"
"19.12.2022","2.778","2.778","2.778","2.778","-0.10%"
"16.12.2022","2.781","2.781","2.781","2.781","-0.14%"
"15.12.2022","2.784","2.784","2.784","2.784","0.09%"
"14.12.2022","2.782","2.782","2.782","2.782","0.68%"
"13.12.2022","2.763","2.763","2.763","2.763","0.13%"
"09.12.2022","2.760","2.760","2.760","2.760","0.18%"
"08.12.2022","2.755","2.755","2.755","2.755","0.60%"
"07.12.2022","2.738","2.738","2.738","2.738","0.08%"
"06.12.2022","2.736","2.736","2.736","2.736","-0.31%"
"05.12.2022","2.744","2.744","2.744","2.744","0.30%"
"02.12.2022","2.736","2.736","2.736","2.736","0.67%"
"01.12.2022","2.718","2.718","2.718","2.718","0.29%"
"30.11.2022","2.710","2.710","2.710","2.710","-0.12%"
"29.11.2022","2.713","2.713","2.713","2.713","-0.38%"
"28.11.2022","2.724","2.724","2.724","2.724","-0.11%"
"25.11.2022","2.727","2.727","2.727","2.727","0.07%"
"24.11.2022","2.725","2.725","2.725","2.725","0.07%"
"23.11.2022","2.723","2.723","2.723","2.723","0.23%"
"22.11.2022","2.717","2.717","2.717","2.717","0.08%"
"18.11.2022","2.714","2.714","2.714","2.714","-0.53%"
"17.11.2022","2.729","2.729","2.729","2.729","0.07%"
"16.11.2022","2.727","2.727","2.727","2.727","0.21%"
"15.11.2022","2.721","2.721","2.721","2.721","-0.10%"
"14.11.2022","2.724","2.724","2.724","2.724","1.49%"
