"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"30.12.2022","2.065","2.065","2.065","2.065","0.04%"
"29.12.2022","2.064","2.064","2.064","2.064","0.04%"
"28.12.2022","2.064","2.064","2.064","2.064","0.04%"
"27.12.2022","2.063","2.063","2.063","2.063","0.00%"
"26.12.2022","2.063","2.063","2.063","2.063","0.05%"
"23.12.2022","2.062","2.062","2.062","2.062","0.05%"
"22.12.2022","2.061","2.061","2.061","2.061","0.05%"
"21.12.2022","2.060","2.060","2.060","2.060","0.05%"
"20.12.2022","2.059","2.059","2.059","2.059","0.05%"
"19.12.2022","2.058","2.058","2.058","2.058","0.05%"
"16.12.2022","2.057","2.057","2.057","2.057","0.05%"
"15.12.2022","2.056","2.056","2.056","2.056","0.05%"
"14.12.2022","2.055","2.055","2.055","2.055","0.05%"
"13.12.2022","2.054","2.054","2.054","2.054","0.05%"
"12.12.2022","2.053","2.053","2.053","2.053","0.05%"
"09.12.2022","2.052","2.052","2.052","2.052","0.05%"
"08.12.2022","2.050","2.050","2.050","2.050","0.05%"
"07.12.2022","2.049","2.049","2.049","2.049","0.05%"
"06.12.2022","2.048","2.048","2.048","2.048","0.05%"
"05.12.2022","2.047","2.047","2.047","2.047","0.05%"
"02.12.2022","2.046","2.046","2.046","2.046","0.05%"
"01.12.2022","2.045","2.045","2.045","2.045","0.05%"
"30.11.2022","2.044","2.044","2.044","2.044","0.05%"
"29.11.2022","2.043","2.043","2.043","2.043","0.05%"
"28.11.2022","2.042","2.042","2.042","2.042","0.05%"
"25.11.2022","2.041","2.041","2.041","2.041","0.05%"
"24.11.2022","2.040","2.040","2.040","2.040","0.05%"
"23.11.2022","2.039","2.039","2.039","2.039","0.05%"
"22.11.2022","2.038","2.038","2.038","2.038","0.05%"
"21.11.2022","2.037","2.037","2.037","2.037","0.05%"
"18.11.2022","2.036","2.036","2.036","2.036","0.05%"
"17.11.2022","2.035","2.035","2.035","2.035","0.05%"
"16.11.2022","2.034","2.034","2.034","2.034","0.05%"
"14.11.2022","2.033","2.033","2.033","2.033","0.05%"
"11.11.2022","2.032","2.032","2.032","2.032","0.05%"
"10.11.2022","2.031","2.031","2.031","2.031","0.05%"
"09.11.2022","2.030","2.030","2.030","2.030","0.05%"
"08.11.2022","2.029","2.029","2.029","2.029","0.05%"
"07.11.2022","2.028","2.028","2.028","2.028","0.05%"
"04.11.2022","2.027","2.027","2.027","2.027","0.05%"
"03.11.2022","2.026","2.026","2.026","2.026","0.05%"
"01.11.2022","2.025","2.025","2.025","2.025","0.05%"
"31.10.2022","2.024","2.024","2.024","2.024","0.05%"
"28.10.2022","2.023","2.023","2.023","2.023","0.05%"
"27.10.2022","2.022","2.022","2.022","2.022","0.05%"
"26.10.2022","2.021","2.021","2.021","2.021","0.05%"
"25.10.2022","2.020","2.020","2.020","2.020","0.05%"
"24.10.2022","2.019","2.019","2.019","2.019","0.05%"
"21.10.2022","2.018","2.018","2.018","2.018","0.05%"
"20.10.2022","2.017","2.017","2.017","2.017","0.05%"
"19.10.2022","2.016","2.016","2.016","2.016","0.05%"
"18.10.2022","2.015","2.015","2.015","2.015","0.05%"
"17.10.2022","2.014","2.014","2.014","2.014","0.05%"
"14.10.2022","2.013","2.013","2.013","2.013","0.05%"
"13.10.2022","2.012","2.012","2.012","2.012","0.05%"
"11.10.2022","2.011","2.011","2.011","2.011","0.05%"
"10.10.2022","2.010","2.010","2.010","2.010","0.05%"
"07.10.2022","2.009","2.009","2.009","2.009","0.05%"
"06.10.2022","2.008","2.008","2.008","2.008","0.05%"
"05.10.2022","2.007","2.007","2.007","2.007","0.05%"
"04.10.2022","2.006","2.006","2.006","2.006","0.15%"
"29.09.2022","2.003","2.003","2.003","2.003","0.05%"
"28.09.2022","2.002","2.002","2.002","2.002","0.05%"
"27.09.2022","2.001","2.001","2.001","2.001","0.05%"
"26.09.2022","2.000","2.000","2.000","2.000","0.05%"
"23.09.2022","1.999","1.999","1.999","1.999","0.05%"
"22.09.2022","1.998","1.998","1.998","1.998","0.05%"
"21.09.2022","1.997","1.997","1.997","1.997","0.05%"
"20.09.2022","1.996","1.996","1.996","1.996","0.05%"
"19.09.2022","1.995","1.995","1.995","1.995","0.05%"
"16.09.2022","1.994","1.994","1.994","1.994","0.05%"
"15.09.2022","1.993","1.993","1.993","1.993","0.05%"
"14.09.2022","1.992","1.992","1.992","1.992","0.05%"
"13.09.2022","1.991","1.991","1.991","1.991","0.05%"
"12.09.2022","1.990","1.990","1.990","1.990","0.05%"
"09.09.2022","1.989","1.989","1.989","1.989","0.05%"
"08.09.2022","1.988","1.988","1.988","1.988","0.05%"
"06.09.2022","1.987","1.987","1.987","1.987","0.05%"
"05.09.2022","1.986","1.986","1.986","1.986","0.05%"
"02.09.2022","1.985","1.985","1.985","1.985","0.05%"
"01.09.2022","1.984","1.984","1.984","1.984","0.05%"
"31.08.2022","1.983","1.983","1.983","1.983","0.05%"
"30.08.2022","1.982","1.982","1.982","1.982","0.05%"
"29.08.2022","1.981","1.981","1.981","1.981","0.05%"
"26.08.2022","1.980","1.980","1.980","1.980","0.05%"
"25.08.2022","1.979","1.979","1.979","1.979","0.05%"
"24.08.2022","1.978","1.978","1.978","1.978","0.05%"
"23.08.2022","1.977","1.977","1.977","1.977","0.05%"
"22.08.2022","1.976","1.976","1.976","1.976","0.05%"
"19.08.2022","1.975","1.975","1.975","1.975","0.05%"
"18.08.2022","1.974","1.974","1.974","1.974","0.05%"
"17.08.2022","1.973","1.973","1.973","1.973","0.05%"
"16.08.2022","1.972","1.972","1.972","1.972","0.05%"
"15.08.2022","1.971","1.971","1.971","1.971","0.05%"
"12.08.2022","1.970","1.970","1.970","1.970","0.05%"
"11.08.2022","1.969","1.969","1.969","1.969","0.05%"
"10.08.2022","1.968","1.968","1.968","1.968","0.05%"
"09.08.2022","1.967","1.967","1.967","1.967","0.05%"
"08.08.2022","1.966","1.966","1.966","1.966","0.05%"
"05.08.2022","1.965","1.965","1.965","1.965","0.05%"
"04.08.2022","1.964","1.964","1.964","1.964","0.05%"
"03.08.2022","1.963","1.963","1.963","1.963","0.05%"
"02.08.2022","1.962","1.962","1.962","1.962","0.05%"
"01.08.2022","1.961","1.961","1.961","1.961","0.05%"
"29.07.2022","1.960","1.960","1.960","1.960","0.05%"
"28.07.2022","1.959","1.959","1.959","1.959","0.05%"
"27.07.2022","1.958","1.958","1.958","1.958","0.05%"
"26.07.2022","1.957","1.957","1.957","1.957","0.05%"
"25.07.2022","1.957","1.957","1.957","1.957","0.05%"
"22.07.2022","1.956","1.956","1.956","1.956","0.05%"
"21.07.2022","1.955","1.955","1.955","1.955","0.05%"
"20.07.2022","1.954","1.954","1.954","1.954","0.05%"
"19.07.2022","1.953","1.953","1.953","1.953","0.05%"
"18.07.2022","1.952","1.952","1.952","1.952","0.05%"
"15.07.2022","1.951","1.951","1.951","1.951","0.05%"
"14.07.2022","1.950","1.950","1.950","1.950","0.05%"
"13.07.2022","1.949","1.949","1.949","1.949","0.05%"
"12.07.2022","1.948","1.948","1.948","1.948","0.05%"
"11.07.2022","1.947","1.947","1.947","1.947","0.04%"
"08.07.2022","1.946","1.946","1.946","1.946","0.05%"
"07.07.2022","1.945","1.945","1.945","1.945","0.05%"
"06.07.2022","1.944","1.944","1.944","1.944","0.05%"
"05.07.2022","1.943","1.943","1.943","1.943","0.05%"
"04.07.2022","1.942","1.942","1.942","1.942","0.05%"
"01.07.2022","1.941","1.941","1.941","1.941","0.05%"
"30.06.2022","1.940","1.940","1.940","1.940","0.05%"
"29.06.2022","1.940","1.940","1.940","1.940","0.05%"
"28.06.2022","1.939","1.939","1.939","1.939","0.05%"
"27.06.2022","1.938","1.938","1.938","1.938","0.05%"
"24.06.2022","1.937","1.937","1.937","1.937","0.05%"
"23.06.2022","1.936","1.936","1.936","1.936","0.05%"
"22.06.2022","1.935","1.935","1.935","1.935","0.05%"
"21.06.2022","1.934","1.934","1.934","1.934","0.05%"
"20.06.2022","1.933","1.933","1.933","1.933","0.05%"
"17.06.2022","1.932","1.932","1.932","1.932","0.05%"
"15.06.2022","1.931","1.931","1.931","1.931","0.05%"
"14.06.2022","1.930","1.930","1.930","1.930","0.05%"
"13.06.2022","1.929","1.929","1.929","1.929","0.05%"
"10.06.2022","1.928","1.928","1.928","1.928","0.05%"
"09.06.2022","1.928","1.928","1.928","1.928","0.05%"
"08.06.2022","1.927","1.927","1.927","1.927","0.05%"
"07.06.2022","1.926","1.926","1.926","1.926","0.04%"
"06.06.2022","1.925","1.925","1.925","1.925","0.05%"
"03.06.2022","1.924","1.924","1.924","1.924","0.05%"
"02.06.2022","1.923","1.923","1.923","1.923","0.05%"
"01.06.2022","1.922","1.922","1.922","1.922","0.05%"
"31.05.2022","1.921","1.921","1.921","1.921","0.05%"
"30.05.2022","1.920","1.920","1.920","1.920","0.05%"
"27.05.2022","1.920","1.920","1.920","1.920","0.05%"
"26.05.2022","1.919","1.919","1.919","1.919","0.05%"
"25.05.2022","1.918","1.918","1.918","1.918","0.05%"
"24.05.2022","1.917","1.917","1.917","1.917","0.05%"
"23.05.2022","1.916","1.916","1.916","1.916","0.05%"
"20.05.2022","1.915","1.915","1.915","1.915","0.05%"
