"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"30.12.2022","41.367","42.472","42.472","41.362","-2.61%"
"29.12.2022","42.475","42.321","42.605","42.115","0.32%"
"28.12.2022","42.340","42.421","42.940","42.192","-0.12%"
"27.12.2022","42.389","42.928","42.928","42.035","-2.28%"
"26.12.2022","43.378","43.378","43.378","43.378","-0.47%"
"23.12.2022","43.585","43.992","43.992","43.480","-1.06%"
"22.12.2022","44.050","44.195","44.533","43.666","-0.65%"
"21.12.2022","44.338","44.355","44.656","44.223","-0.10%"
"20.12.2022","44.384","44.606","44.705","44.123","-2.18%"
"19.12.2022","45.374","45.348","45.616","44.980","-0.83%"
"16.12.2022","45.753","46.030","46.030","45.197","-1.74%"
"15.12.2022","46.564","47.598","47.967","46.233","-3.48%"
"14.12.2022","48.243","48.686","48.686","47.490","-1.31%"
"13.12.2022","48.884","48.389","49.265","47.983","0.87%"
"12.12.2022","48.463","48.362","48.874","47.994","0.47%"
"09.12.2022","48.238","48.762","49.072","48.008","-2.04%"
"08.12.2022","49.241","49.562","49.865","49.132","-1.24%"
"07.12.2022","49.861","49.861","49.967","49.141","1.03%"
"06.12.2022","49.351","48.607","49.453","48.492","1.23%"
"05.12.2022","48.754","48.794","49.276","48.515","0.24%"
"02.12.2022","48.635","49.107","49.594","48.411","-1.00%"
"01.12.2022","49.126","48.721","49.332","48.418","2.00%"
"30.11.2022","48.162","47.561","48.194","47.561","-0.60%"
"29.11.2022","48.454","48.170","48.796","47.901","1.37%"
"28.11.2022","47.801","48.257","48.433","47.334","-0.27%"
"25.11.2022","47.931","48.681","48.952","47.625","-2.73%"
"24.11.2022","49.275","48.600","49.343","48.600","2.20%"
"23.11.2022","48.213","47.080","48.535","46.800","2.30%"
"22.11.2022","47.129","46.893","47.367","46.659","0.18%"
"21.11.2022","47.045","46.863","47.435","46.507","0.15%"
"18.11.2022","46.975","46.538","47.065","45.821","0.80%"
"17.11.2022","46.602","46.816","47.074","46.168","-0.36%"
"16.11.2022","46.771","45.488","46.660","45.379","2.51%"
"15.11.2022","45.628","44.993","45.963","44.718","2.24%"
"14.11.2022","44.629","44.714","45.218","44.491","-0.28%"
"11.11.2022","44.755","46.062","46.209","44.702","-4.28%"
"10.11.2022","46.756","44.751","46.708","44.646","4.20%"
"09.11.2022","44.873","44.303","44.925","44.019","1.61%"
"08.11.2022","44.161","43.077","44.219","42.836","1.45%"
"07.11.2022","43.530","43.027","43.943","43.027","0.14%"
"04.11.2022","43.470","43.810","44.248","43.186","-0.53%"
"03.11.2022","43.702","43.183","44.302","43.183","-1.06%"
"02.11.2022","44.172","44.157","44.436","43.851","-0.19%"
"01.11.2022","44.256","43.975","45.099","43.975","0.73%"
"31.10.2022","43.934","44.464","44.820","43.850","-1.95%"
"28.10.2022","44.808","45.058","45.425","44.368","-1.65%"
"27.10.2022","45.558","44.021","45.734","43.570","2.61%"
"26.10.2022","44.399","43.990","44.599","43.706","0.95%"
