"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.12.2022","438","437","438","437","131.35K","0.00%"
"28.12.2022","438","439","439","438","23.52K","-0.18%"
"27.12.2022","439","439","439","439","24.06K","-0.47%"
"26.12.2022","441","441","441","441","24.06K","-0.21%"
"25.12.2022","442","443","443","442","65.01K","-0.81%"
"22.12.2022","446","446","446","446","12.44K","-0.26%"
"21.12.2022","447","448","448","447","17.98K","-0.83%"
"19.12.2022","451","451","451","450","62.10K","-0.27%"
"18.12.2022","452","452","452","452","3.00K","0.00%"
"15.12.2022","452","451","452","451","230.48K","0.60%"
"12.12.2022","449","448","449","448","2.34K","0.00%"
"11.12.2022","449","448","449","448","6.31K","-0.24%"
"08.12.2022","450","450","450","450","64.86K","-0.12%"
"07.12.2022","450","450","451","450","62.84K","-0.35%"
"05.12.2022","452","452","452","452","10.37K","0.15%"
"04.12.2022","451","453","453","451","52.17K","0.22%"
"01.12.2022","450","450","450","450","","0.00%"
"30.11.2022","450","448","450","448","13.07K","0.25%"
"29.11.2022","449","452","452","449","180.17K","-0.73%"
"28.11.2022","452","452","452","452","15.14K","-0.11%"
"27.11.2022","453","453","453","453","79.47K","-0.36%"
"24.11.2022","454","455","455","454","23.04K","0.00%"
"23.11.2022","455","455","455","454","10.71K","0.32%"
"22.11.2022","453","449","453","449","103.35K","0.89%"
"21.11.2022","449","449","450","449","5.25K","0.00%"
"20.11.2022","449","450","450","449","60.40K","-0.30%"
"17.11.2022","450","454","454","450","20.00K","-0.36%"
"16.11.2022","452","450","452","450","120.56K","-0.22%"
"15.11.2022","453","453","453","452","14.84K","0.30%"
"14.11.2022","452","456","456","451","87.65K","-0.92%"
"13.11.2022","456","454","456","454","4.45K","1.75%"
"10.11.2022","448","448","451","448","8.56K","0.00%"
"08.11.2022","448","448","448","448","12.39K","0.36%"
"07.11.2022","446","445","446","445","237.95K","0.00%"
"03.11.2022","446","447","447","446","53.98K","-0.79%"
"02.11.2022","450","448","450","448","92.58K","0.44%"
"31.10.2022","448","448","448","447","33.14K","0.00%"
"30.10.2022","448","446","448","446","18.01K","0.41%"
"27.10.2022","446","446","447","446","9.72K","-0.18%"
"26.10.2022","446","446","447","446","2.00K","0.87%"
"25.10.2022","443","441","443","441","133.78K","0.57%"
"24.10.2022","440","439","441","439","418.26K","0.27%"
"23.10.2022","439","439","439","439","11.40K","0.00%"
"20.10.2022","439","439","439","439","","0.00%"
"19.10.2022","439","439","439","439","2.48K","-0.23%"
"18.10.2022","440","440","440","440","73.81K","-0.52%"
"13.10.2022","442","441","442","441","68.64K","0.19%"
