"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"12.04.2023","19.83","19.82","19.83","19.82","28.58K","0.04%"
"11.04.2023","19.82","19.92","19.92","19.81","25.44K","0.00%"
"06.04.2023","19.82","19.82","19.84","19.82","13.93K","-0.06%"
"05.04.2023","19.83","19.82","19.86","19.82","15.98K","0.08%"
"04.04.2023","19.82","19.81","19.83","19.81","49.72K","0.04%"
"03.04.2023","19.81","19.81","19.82","19.80","17.89K","0.00%"
"31.03.2023","19.81","19.81","19.82","19.80","23.05K","0.03%"
"30.03.2023","19.81","19.81","19.82","19.81","10.03K","0.00%"
"29.03.2023","19.81","19.81","19.82","19.80","29.06K","0.00%"
"28.03.2023","19.81","19.81","19.82","19.80","24.87K","0.00%"
"27.03.2023","19.81","19.81","19.81","19.80","10.29K","0.00%"
"24.03.2023","19.81","19.81","19.83","19.80","18.77K","0.00%"
"23.03.2023","19.81","19.80","19.81","19.80","35.67K","0.05%"
"22.03.2023","19.80","19.80","19.81","19.78","106.30K","-0.03%"
"21.03.2023","19.80","19.81","19.82","19.80","88.23K","0.00%"
"20.03.2023","19.81","19.82","19.82","19.80","12.09K","0.04%"
"17.03.2023","19.80","19.79","19.82","19.78","13.06K","0.00%"
"16.03.2023","19.80","19.80","19.82","19.80","56.21K","-0.05%"
"15.03.2023","19.81","19.77","19.82","19.77","19.37K","0.12%"
"14.03.2023","19.78","19.79","19.80","19.78","12.30K","0.00%"
"13.03.2023","19.78","19.76","19.80","19.76","36.03K","0.13%"
