"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","83.37","82.64","84.64","82.55","7.53K","0.88%"
"29.12.2022","82.64","83.25","83.89","82.52","7.10K","-0.74%"
"28.12.2022","83.26","84.09","85.08","82.36","10.37K","-1.16%"
"27.12.2022","84.24","85.23","85.64","84.02","7.36K","-1.14%"
"23.12.2022","85.21","84.30","85.79","84.01","9.30K","1.08%"
"22.12.2022","84.30","88.30","88.60","84.30","13.09K","-4.53%"
"21.12.2022","88.30","87.80","89.65","87.36","15.60K","0.52%"
"20.12.2022","87.84","84.08","88.08","83.63","16.36K","4.47%"
"19.12.2022","84.08","81.92","85.75","81.33","16.98K","2.64%"
"16.12.2022","81.92","81.03","82.30","79.80","13.49K","1.10%"
"15.12.2022","81.03","81.37","81.97","80.41","11.58K","-0.42%"
"14.12.2022","81.37","81.47","82.55","80.63","10.98K","-0.32%"
"13.12.2022","81.63","79.29","82.39","78.80","18.27K","2.82%"
"12.12.2022","79.39","80.95","81.88","79.03","14.22K","-1.93%"
"09.12.2022","80.95","80.90","83.75","80.10","18.90K","0.37%"
"08.12.2022","80.65","82.00","83.73","80.57","4.65K","-1.44%"
"07.12.2022","81.83","84.59","85.08","81.17","17.23K","-3.26%"
"06.12.2022","84.59","83.60","86.39","83.24","11.77K","0.87%"
"05.12.2022","83.86","83.29","85.36","82.75","10.85K","0.79%"
"02.12.2022","83.20","84.86","85.80","82.40","11.25K","-1.94%"
"01.12.2022","84.85","84.76","87.23","83.23","18.53K","0.28%"
"30.11.2022","84.61","80.61","84.61","79.88","15.44K","4.96%"
"29.11.2022","80.61","79.00","81.26","78.95","10.96K","2.10%"
"28.11.2022","78.95","80.17","80.64","77.50","16.26K","-1.53%"
"25.11.2022","80.18","83.10","83.44","80.05","8.27K","-3.28%"
"23.11.2022","82.90","82.20","83.18","80.33","7.22K","0.58%"
"22.11.2022","82.42","79.78","83.66","79.30","18.37K","3.31%"
"21.11.2022","79.78","83.47","83.47","79.78","18.01K","-4.77%"
"18.11.2022","83.78","85.20","85.29","82.15","18.93K","-1.76%"
"17.11.2022","85.28","86.76","87.22","83.84","16.75K","-1.71%"
"16.11.2022","86.76","87.00","89.92","86.00","22.84K","-0.24%"
"15.11.2022","86.97","83.60","87.62","83.44","27.66K","1.98%"
"14.11.2022","85.28","88.20","88.40","85.12","15.44K","-3.31%"
"11.11.2022","88.20","86.52","88.75","86.38","19.79K","2.11%"
"10.11.2022","86.38","86.49","87.44","84.93","18.53K","-0.14%"
"09.11.2022","86.50","87.68","88.75","84.19","24.71K","-1.35%"
"08.11.2022","87.68","87.46","89.31","86.25","21.39K","0.22%"
"07.11.2022","87.49","86.23","88.25","84.85","33.51K","0.64%"
"04.11.2022","86.93","83.45","87.87","81.25","36.85K","4.73%"
"03.11.2022","83.00","79.90","83.00","77.69","35.91K","5.06%"
"02.11.2022","79.00","78.40","79.00","76.52","31.10K","5.33%"
"01.11.2022","75.00","72.15","75.00","72.00","13.67K","4.17%"
