"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","3.8130","3.8135","3.8150","3.8135","0.01K","-0.35%"
"29.12.2022","3.8265","3.8360","3.8360","3.8250","0.04K","-0.42%"
"28.12.2022","3.8425","3.8490","3.8730","3.8210","42.61K","0.05%"
"27.12.2022","3.8405","3.8400","3.9415","3.8320","48.12K","-0.44%"
"26.12.2022","3.8575","3.8125","3.8675","3.8125","","1.27%"
"23.12.2022","3.8090","3.7645","3.8170","3.7610","38.56K","1.38%"
"22.12.2022","3.7570","3.8180","3.8490","3.7495","44.39K","-1.39%"
"21.12.2022","3.8100","3.8070","3.8285","3.7890","39.35K","0.29%"
"20.12.2022","3.7990","3.7610","3.8305","3.7230","55.30K","0.42%"
"19.12.2022","3.7830","3.7695","3.8245","3.7495","38.27K","0.57%"
"16.12.2022","3.7615","3.7760","3.8050","3.7330","46.14K","-0.04%"
"15.12.2022","3.7630","3.8635","3.8675","3.7570","60.79K","-2.97%"
"14.12.2022","3.8780","3.8455","3.8920","3.8230","50.21K","0.94%"
"13.12.2022","3.8420","3.8080","3.9290","3.8035","69.13K","1.09%"
"12.12.2022","3.8005","3.8595","3.8595","3.7860","45.29K","-2.01%"
"09.12.2022","3.8785","3.8815","3.9245","3.8460","51.88K","-0.13%"
"08.12.2022","3.8835","3.8435","3.9125","3.8330","50.54K","0.60%"
"07.12.2022","3.8605","3.8210","3.8740","3.7750","52.67K","1.11%"
"06.12.2022","3.8180","3.7915","3.8635","3.7845","53.10K","0.61%"
"05.12.2022","3.7950","3.8530","3.8945","3.7730","58.79K","-1.44%"
"02.12.2022","3.8505","3.7975","3.8650","3.7445","59.97K","0.86%"
"01.12.2022","3.8175","3.7820","3.8225","3.7350","59.94K","2.13%"
"30.11.2022","3.7380","3.6440","3.7925","3.6340","81.15K","2.71%"
"29.11.2022","3.6395","3.6015","3.6845","3.5955","55.24K","0.64%"
"28.11.2022","3.6165","3.5910","3.6195","3.5575","0.46K","-0.45%"
"25.11.2022","3.6330","3.6545","3.6580","3.6220","0.18K","-0.18%"
"24.11.2022","3.6395","3.6472","3.6710","3.6240","","0.54%"
"23.11.2022","3.6200","3.6225","3.6315","3.6040","0.21K","0.10%"
"22.11.2022","3.6165","3.5950","3.6650","3.5900","0.25K","1.13%"
"21.11.2022","3.5760","3.6500","3.6550","3.5560","32.41K","-1.80%"
"18.11.2022","3.6415","3.6920","3.7150","3.6370","28.32K","-1.42%"
"17.11.2022","3.6940","3.7570","3.7765","3.6730","24.88K","-2.11%"
"16.11.2022","3.7735","3.8110","3.8210","3.7495","27.93K","-1.20%"
"15.11.2022","3.8195","3.8325","3.8820","3.7945","39.81K","-0.21%"
"14.11.2022","3.8275","3.9225","3.9470","3.8055","38.11K","-1.88%"
"11.11.2022","3.9010","3.7650","3.9320","3.7535","47.70K","4.04%"
"10.11.2022","3.7495","3.6680","3.7795","3.6225","36.79K","1.58%"
"09.11.2022","3.6910","3.6605","3.7330","3.6215","42.77K","0.41%"
"08.11.2022","3.6760","3.5975","3.6910","3.5625","38.61K","2.10%"
"07.11.2022","3.6005","3.6350","3.6500","3.5740","32.98K","-1.99%"
"04.11.2022","3.6735","3.4135","3.6950","3.4090","45.21K","7.52%"
"03.11.2022","3.4165","3.4230","3.4505","3.3675","29.77K","-1.10%"
"02.11.2022","3.4545","3.4480","3.5015","3.4200","20.27K","-0.07%"
"01.11.2022","3.4570","3.3620","3.4835","3.3610","14.76K","2.96%"
"31.10.2022","3.3575","3.4090","3.4280","3.3480","15.27K","-1.64%"
"28.10.2022","3.4135","3.5125","3.5125","3.4030","15.71K","-2.54%"
"27.10.2022","3.5025","3.5180","3.5365","3.4735","15.23K","-0.62%"
"26.10.2022","3.5245","3.3910","3.5325","3.3710","21.53K","4.14%"
"25.10.2022","3.3845","3.4160","3.4250","3.3510","12.76K","-0.95%"
"24.10.2022","3.4170","3.4700","3.4855","3.4030","14.29K","-1.14%"
