"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","167.30","169.10","172.45","165.15","13.42K","-1.62%"
"29.12.2022","170.05","172.95","173.40","169.25","10.62K","-2.02%"
"28.12.2022","173.55","166.75","174.95","166.70","16.43K","3.95%"
"27.12.2022","166.95","171.00","171.00","165.70","10.95K","-2.94%"
"23.12.2022","172.00","168.90","172.65","168.80","9.14K","1.84%"
"22.12.2022","168.90","169.10","170.20","165.15","10.47K","-0.27%"
"21.12.2022","169.35","168.50","170.35","167.10","10.14K","0.92%"
"20.12.2022","167.80","164.50","169.65","164.20","12.86K","2.29%"
"19.12.2022","164.05","163.95","167.10","162.55","12.46K","-0.06%"
"16.12.2022","164.15","171.65","173.80","163.80","18.95K","-4.29%"
"15.12.2022","171.50","166.70","173.10","166.25","16.99K","1.90%"
"14.12.2022","168.30","167.00","169.60","166.50","0.10K","0.69%"
"13.12.2022","167.15","165.50","165.50","165.00","0.03K","0.48%"
"12.12.2022","166.35","156.30","156.50","155.00","0.02K","5.45%"
"09.12.2022","157.75","158.50","158.50","157.00","0.04K","0.54%"
"08.12.2022","156.90","158.50","158.50","157.00","0.01K","-0.51%"
"07.12.2022","157.70","163.85","164.85","159.05","19.57K","-2.08%"
"06.12.2022","161.05","161.10","161.10","161.10","0.00K","0.56%"
"05.12.2022","160.15","162.25","165.10","162.00","12.50K","0.00%"
"02.12.2022","160.15","159.65","161.45","159.65","0.01K","-1.96%"
"01.12.2022","163.35","170.00","170.45","170.00","0.00K","-2.59%"
"30.11.2022","167.70","167.50","167.50","167.50","0.00K","0.60%"
"29.11.2022","166.70","161.95","169.50","161.50","15.17K","3.77%"
"28.11.2022","160.65","162.90","162.90","160.85","0.00K","-1.77%"
"25.11.2022","163.55","162.30","162.30","162.30","0.01K","2.15%"
"23.11.2022","160.10","163.85","163.85","160.20","0.02K","-1.05%"
"22.11.2022","161.80","160.00","162.25","160.00","0.01K","2.73%"
"21.11.2022","157.50","151.50","159.00","150.45","0.30K","4.10%"
"18.11.2022","151.30","153.65","157.05","150.75","4.25K","-0.92%"
"17.11.2022","152.70","154.90","156.15","150.60","6.07K","-1.77%"
"16.11.2022","155.45","158.90","159.55","154.30","7.03K","-0.83%"
"15.11.2022","156.75","166.15","167.70","154.10","12.89K","-5.69%"
"14.11.2022","166.20","168.70","168.70","163.40","11.89K","-2.29%"
"11.11.2022","170.10","170.25","173.70","168.70","18.69K","-0.53%"
"10.11.2022","171.00","165.30","171.70","162.90","23.68K","3.54%"
"09.11.2022","165.15","164.90","168.45","163.65","22.94K","-0.78%"
"08.11.2022","166.45","171.50","172.55","163.80","27.56K","-2.40%"
"07.11.2022","170.55","175.70","177.55","166.45","27.61K","-2.96%"
"04.11.2022","175.75","174.40","177.90","173.45","15.42K","2.06%"
"03.11.2022","172.20","181.15","181.25","170.00","23.04K","-5.46%"
"02.11.2022","182.15","175.20","183.40","175.20","19.83K","4.32%"
"01.11.2022","174.60","177.85","180.60","173.80","21.71K","-1.74%"
"31.10.2022","177.70","171.70","178.55","171.55","26.37K","4.65%"
"28.10.2022","169.80","178.85","179.65","167.75","30.55K","-5.06%"
"27.10.2022","178.85","181.00","183.60","178.10","19.57K","-0.50%"
"26.10.2022","179.75","184.90","185.75","179.05","25.20K","-3.26%"
"25.10.2022","185.80","191.10","192.80","183.30","28.94K","-2.42%"
"24.10.2022","190.40","190.05","194.15","188.90","18.49K","-0.26%"
"21.10.2022","190.90","188.70","192.55","186.20","17.81K","-0.08%"
