"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","24.040","24.105","24.360","23.705","40.89K","-0.87%"
"29.12.2022","24.250","23.725","24.280","23.690","36.90K","1.72%"
"28.12.2022","23.840","24.240","24.275","23.645","34.29K","-1.56%"
"27.12.2022","24.217","24.050","24.495","23.975","45.23K","0.67%"
"26.12.2022","24.055","24.008","24.168","23.968","","0.56%"
"23.12.2022","23.920","23.740","24.095","23.685","31.56K","1.26%"
"22.12.2022","23.622","24.195","24.315","23.550","46.20K","-2.36%"
"21.12.2022","24.194","24.395","24.525","24.055","36.77K","-0.32%"
"20.12.2022","24.271","23.180","24.490","23.050","72.52K","4.62%"
"19.12.2022","23.199","23.415","23.625","23.030","33.18K","-0.55%"
"16.12.2022","23.328","23.270","23.445","22.735","51.26K","0.10%"
"15.12.2022","23.305","24.180","24.180","23.155","61.90K","-3.44%"
"14.12.2022","24.136","23.965","24.275","23.605","51.52K","0.61%"
"13.12.2022","23.990","23.520","24.390","23.490","74.31K","2.51%"
"12.12.2022","23.403","23.650","23.765","23.320","39.13K","-1.32%"
"09.12.2022","23.717","23.305","23.900","23.140","53.44K","2.03%"
"08.12.2022","23.246","22.920","23.425","22.725","44.88K","1.41%"
"07.12.2022","22.922","22.350","23.010","22.255","51.54K","2.63%"
"06.12.2022","22.335","22.435","22.780","22.190","49.86K","-0.37%"
"05.12.2022","22.417","23.290","23.690","22.350","72.92K","-3.58%"
"02.12.2022","23.250","22.975","23.475","22.480","74.94K","1.79%"
"01.12.2022","22.841","22.410","23.005","22.240","73.64K","4.87%"
"30.11.2022","21.781","21.415","22.410","21.355","63.51K","1.61%"
"29.11.2022","21.436","21.130","21.635","21.060","46.73K","1.47%"
"28.11.2022","21.125","21.640","21.815","21.045","59.18K","-2.24%"
"25.11.2022","21.609","21.785","21.880","21.355","30.82K","0.47%"
"24.11.2022","21.508","21.637","21.730","21.488","","-0.08%"
"23.11.2022","21.526","21.260","21.780","21.095","20.92K","1.40%"
"22.11.2022","21.229","21.050","21.555","21.050","22.91K","1.71%"
"21.11.2022","20.872","20.985","21.040","20.600","49.27K","-0.60%"
"18.11.2022","20.997","21.020","21.325","20.870","45.48K","0.10%"
"17.11.2022","20.975","21.505","21.535","20.785","68.30K","-2.55%"
"16.11.2022","21.524","21.630","22.155","21.455","71.72K","0.03%"
"15.11.2022","21.518","22.065","22.380","21.450","94.52K","-2.69%"
"14.11.2022","22.113","21.770","22.190","21.370","63.15K","2.06%"
"11.11.2022","21.667","21.770","22.160","21.355","77.86K","-0.16%"
"10.11.2022","21.702","21.115","21.940","21.045","92.92K","1.76%"
"09.11.2022","21.327","21.425","21.695","21.055","80.56K","-0.81%"
"08.11.2022","21.502","20.850","21.720","20.570","95.95K","2.79%"
"07.11.2022","20.919","20.570","21.080","20.435","76.41K","0.00%"
"06.11.2022","20.919","20.570","21.080","20.435","68.48K","0.65%"
"04.11.2022","20.784","19.500","20.965","19.425","112.10K","6.97%"
"03.11.2022","19.430","19.230","19.555","18.805","71.23K","-0.84%"
"02.11.2022","19.594","19.635","20.110","19.200","63.23K","-0.37%"
"01.11.2022","19.667","19.110","20.040","19.085","74.28K","2.87%"
"31.10.2022","19.119","19.200","19.225","18.865","35.79K","-0.15%"
"28.10.2022","19.147","19.565","19.620","18.950","50.43K","-1.78%"
"27.10.2022","19.494","19.555","19.660","19.255","58.01K","0.04%"
"26.10.2022","19.486","19.325","19.765","19.180","55.63K","0.71%"
"25.10.2022","19.349","19.195","19.410","18.740","54.44K","0.83%"
"24.10.2022","19.189","19.395","19.675","18.985","61.36K","0.65%"
"21.10.2022","19.066","18.625","19.405","18.205","85.07K","2.02%"
"20.10.2022","18.689","18.405","18.960","18.150","57.78K","1.80%"
"19.10.2022","18.359","18.685","18.755","18.305","36.44K","-1.30%"
"18.10.2022","18.600","18.625","18.865","18.490","39.82K","-0.64%"
"17.10.2022","18.719","18.160","18.890","18.155","52.19K","3.59%"
"14.10.2022","18.071","18.865","19.055","18.010","69.61K","-4.48%"
"13.10.2022","18.918","19.010","19.290","18.410","73.30K","-0.11%"
"12.10.2022","18.938","19.175","19.310","18.840","57.22K","-2.82%"
"11.10.2022","19.487","19.630","19.725","19.050","60.40K","-0.65%"
