"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","3,844.9","3,842.7","3,846.2","3,798.3","","0.06%"
"29.12.2022","3,842.5","3,787.6","3,858.3","3,781.8","","1.46%"
"28.12.2022","3,787.1","3,831.2","3,849.0","3,780.8","","-1.12%"
"27.12.2022","3,830.0","3,868.0","3,875.0","3,812.3","","-0.98%"
"26.12.2022","3,868.0","3,853.1","3,869.8","3,853.1","","0.63%"
"23.12.2022","3,843.9","3,822.7","3,846.8","3,795.8","","0.56%"
"22.12.2022","3,822.4","3,882.4","3,891.4","3,764.0","","-1.57%"
"21.12.2022","3,883.4","3,834.5","3,890.2","3,828.9","","1.28%"
"20.12.2022","3,834.3","3,822.9","3,838.3","3,776.7","","0.29%"
"19.12.2022","3,823.1","3,853.3","3,871.6","3,799.3","","-0.78%"
"18.12.2022","3,853.1","3,848.2","3,859.2","3,846.5","","0.23%"
"16.12.2022","3,844.1","3,896.6","3,903.9","3,827.6","","-1.33%"
"15.12.2022","3,896.1","4,002.6","4,007.9","3,878.9","","-2.67%"
"14.12.2022","4,002.8","4,019.8","4,053.6","3,964.8","","-0.43%"
"13.12.2022","4,020.0","3,988.1","4,133.8","3,982.6","","0.81%"
"12.12.2022","3,987.8","3,926.3","3,990.6","3,923.6","","1.56%"
"11.12.2022","3,926.5","3,933.0","3,936.4","3,924.5","","-0.08%"
"09.12.2022","3,929.7","3,960.0","3,987.8","3,929.4","","-0.79%"
"08.12.2022","3,960.8","3,934.0","3,974.4","3,912.8","","0.68%"
"07.12.2022","3,934.2","3,944.5","3,957.7","3,911.5","","-0.26%"
"06.12.2022","3,944.3","4,004.4","4,011.0","3,918.5","","-1.50%"
"05.12.2022","4,004.3","4,067.7","4,070.2","3,984.4","","-1.56%"
"04.12.2022","4,067.9","4,070.2","4,070.9","4,062.4","","0.15%"
"02.12.2022","4,061.7","4,072.4","4,080.6","4,003.1","","-0.29%"
"01.12.2022","4,073.4","4,084.9","4,101.9","4,050.5","","-0.29%"
"30.11.2022","4,085.4","3,953.1","4,090.2","3,938.4","","3.35%"
"29.11.2022","3,952.8","3,966.2","3,985.1","3,937.2","","-0.34%"
"28.11.2022","3,966.4","4,011.3","4,013.1","3,955.8","","-1.11%"
"27.11.2022","4,010.8","4,014.9","4,018.1","4,010.6","","-0.44%"
"25.11.2022","4,028.4","4,038.7","4,040.3","4,019.8","","-0.25%"
"24.11.2022","4,038.6","4,036.1","4,043.8","4,032.1","","0.07%"
"23.11.2022","4,035.8","4,004.7","4,035.8","3,995.7","","0.78%"
"22.11.2022","4,004.5","3,952.0","4,005.4","3,938.2","","1.33%"
"21.11.2022","3,951.9","3,962.9","3,963.8","3,932.7","","-0.26%"
"20.11.2022","3,962.4","3,970.1","3,970.3","3,961.2","","-0.07%"
"18.11.2022","3,965.0","3,949.2","3,986.3","3,935.6","","0.30%"
"17.11.2022","3,953.0","3,967.2","3,981.1","3,904.0","","-0.31%"
"16.11.2022","3,965.3","3,987.8","4,007.4","3,954.3","","-0.55%"
"15.11.2022","3,987.3","3,965.7","4,042.3","3,953.0","","0.55%"
"14.11.2022","3,965.6","3,984.1","4,009.1","3,956.8","","-0.47%"
"13.11.2022","3,984.3","3,973.0","3,986.0","3,972.7","","-0.19%"
"11.11.2022","3,991.9","3,964.4","4,001.6","3,944.5","","0.69%"
"10.11.2022","3,964.7","3,750.6","3,967.2","3,748.9","","5.69%"
"09.11.2022","3,751.1","3,834.1","3,840.8","3,744.2","","-2.18%"
"08.11.2022","3,834.6","3,808.5","3,859.6","3,786.1","","0.69%"
"07.11.2022","3,808.4","3,743.9","3,813.8","3,743.5","","1.72%"
"06.11.2022","3,743.9","3,733.5","3,747.6","3,733.5","","-0.53%"
"04.11.2022","3,764.0","3,713.1","3,796.6","3,708.1","","1.38%"
"03.11.2022","3,712.9","3,750.4","3,773.0","3,696.9","","-1.00%"
"02.11.2022","3,750.3","3,855.5","3,896.0","3,747.2","","-2.72%"
"01.11.2022","3,855.0","3,878.8","3,917.4","3,842.8","","-0.60%"
"31.10.2022","3,878.2","3,895.8","3,899.7","3,862.2","","-0.45%"
"30.10.2022","3,895.6","3,895.5","3,901.3","3,892.6","","-0.43%"
"28.10.2022","3,912.4","3,785.8","3,913.4","3,767.3","","3.37%"
"27.10.2022","3,784.8","3,849.7","3,860.2","3,752.4","","-1.68%"
"26.10.2022","3,849.4","3,822.0","3,886.1","3,813.8","","0.71%"
"25.10.2022","3,822.3","3,799.2","3,863.2","3,779.8","","0.61%"
"24.10.2022","3,799.2","3,776.2","3,810.6","3,726.1","","0.60%"
